Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634415396.8439	
BlockStart	1	0	0		-	1634415398.5932	
Fix	1	0	0		+	1634415398.629
Fix	1	1	0		+	1634415398.7956
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634415398.6706
StimVisualOff	1	1				1634415398.7748
Fix	1	2	0		+	1634415399.0248
StimVisualOn	1	2	f	right	LiberationMono-Regular.ttf	1634415398.8998
StimVisualOff	1	2				1634415399.004
Fix	1	3	0		+	1634415399.2956
StimVisualOn	1	3	Y	right	AlexBrush-Regular.ttf	1634415399.129
StimVisualOff	1	3				1634415399.254
Fix	1	4	0		+	1634415399.5665
StimVisualOn	1	4	m	right	LiberationMono-Regular.ttf	1634415399.3998
StimVisualOff	1	4				1634415399.5248
Fix	1	5	0		+	1634415399.7748
StimVisualOn	1	5	d	right	AlexBrush-Regular.ttf	1634415399.6498
StimVisualOff	1	5				1634415399.754
Fix	1	6	0		+	1634415400.0248
StimVisualOn	1	6	i	right	LiberationMono-Regular.ttf	1634415399.879
StimVisualOff	1	6				1634415399.9832
Fix	1	7	0		+	1634415400.2748
StimVisualOn	1	7	G	left	AlexBrush-Regular.ttf	1634415400.1082
StimVisualOff	1	7				1634415400.2332
Fix	1	8	0		+	1634415400.4832
StimVisualOn	1	8	t	left	AlexBrush-Regular.ttf	1634415400.3582
StimVisualOff	1	8				1634415400.4623
Fix	1	9	0		+	1634415400.7123
StimVisualOn	1	9	H	right	LiberationMono-Regular.ttf	1634415400.5873
StimVisualOff	1	9				1634415400.6915
Fix	1	10	0		+	1634415400.9832
StimVisualOn	1	10	o	right	AlexBrush-Regular.ttf	1634415400.8165
StimVisualOff	1	10				1634415400.9415
Fix	1	11	0		+	1634415401.2123
StimVisualOn	1	11	p	left	LiberationMono-Regular.ttf	1634415401.0873
StimVisualOff	1	11				1634415401.1915
Fix	1	12	0		+	1634415401.4832
StimVisualOn	1	12	I	right	AlexBrush-Regular.ttf	1634415401.3165
StimVisualOff	1	12				1634415401.4415
Fix	1	13	0		+	1634415401.7332
StimVisualOn	1	13	d	left	AlexBrush-Regular.ttf	1634415401.5665
StimVisualOff	1	13				1634415401.6915
Fix	1	14	0		+	1634415401.9415
StimVisualOn	1	14	q	left	AlexBrush-Regular.ttf	1634415401.8165
StimVisualOff	1	14				1634415401.9207
Fix	1	15	0		+	1634415402.2124
StimVisualOn	1	15	J	right	AlexBrush-Regular.ttf	1634415402.0457
StimVisualOff	1	15				1634415402.1707
Fix	1	16	0		+	1634415402.4832
StimVisualOn	1	16	S	left	AlexBrush-Regular.ttf	1634415402.3165
StimVisualOff	1	16				1634415402.4415
Fix	1	17	0		+	1634415402.7332
StimVisualOn	1	17	s	right	AlexBrush-Regular.ttf	1634415402.5665
StimVisualOff	1	17				1634415402.6915
Fix	1	18	0		+	1634415402.9832
StimVisualOn	1	18	p	right	LiberationMono-Regular.ttf	1634415402.8165
StimVisualOff	1	18				1634415402.9415
Fix	1	19	0		+	1634415403.2332
StimVisualOn	1	19	x	right	LiberationMono-Regular.ttf	1634415403.0665
StimVisualOff	1	19				1634415403.1915
Fix	1	20	0		+	1634415403.4416
StimVisualOn	1	20	Y	left	LiberationMono-Regular.ttf	1634415403.3165
StimVisualOff	1	20				1634415403.4207
Fix	1	21	0		+	1634415403.6707
StimVisualOn	1	21	R	left	AlexBrush-Regular.ttf	1634415403.5457
StimVisualOff	1	21				1634415403.6499
Fix	1	22	0		+	1634415403.9416
StimVisualOn	1	22	b	right	AlexBrush-Regular.ttf	1634415403.7749
StimVisualOff	1	22				1634415403.8999
Fix	1	23	0		+	1634415404.2124
StimVisualOn	1	23	y	left	AlexBrush-Regular.ttf	1634415404.0457
StimVisualOff	1	23				1634415404.1707
Fix	1	24	0		+	1634415404.4416
StimVisualOn	1	24	D	left	LiberationMono-Regular.ttf	1634415404.3166
StimVisualOff	1	24				1634415404.4207
Fix	1	25	0		+	1634415404.6707
StimVisualOn	1	25	n	right	LiberationMono-Regular.ttf	1634415404.5457
StimVisualOff	1	25				1634415404.6499
Fix	1	26	0		+	1634415404.8999
StimVisualOn	1	26	p	right	LiberationMono-Regular.ttf	1634415404.7749
StimVisualOff	1	26				1634415404.8791
Fix	1	27	0		+	1634415405.1707
StimVisualOn	1	27	O	left	LiberationMono-Regular.ttf	1634415405.0041
StimVisualOff	1	27				1634415405.1291
Fix	1	28	0		+	1634415405.4208
StimVisualOn	1	28	E	right	LiberationMono-Regular.ttf	1634415405.2541
StimVisualOff	1	28				1634415405.3791
Fix	1	29	0		+	1634415405.6291
StimVisualOn	1	29	A	right	LiberationMono-Regular.ttf	1634415405.5041
StimVisualOff	1	29				1634415405.6083
Fix	1	30	0		+	1634415405.8999
StimVisualOn	1	30	U	left	AlexBrush-Regular.ttf	1634415405.7333
StimVisualOff	1	30				1634415405.8583
Fix	1	31	0		+	1634415406.1499
StimVisualOn	1	31	4	right	LiberationMono-Regular.ttf	1634415405.9833
StimVisualOff	1	31				1634415406.1083
Fix	1	32	0		+	1634415406.3999
StimVisualOn	1	32	Q	left	AlexBrush-Regular.ttf	1634415406.2333
StimVisualOff	1	32				1634415406.3583
Fix	1	33	0		+	1634415406.6083
StimVisualOn	1	33	g	right	LiberationMono-Regular.ttf	1634415406.4833
StimVisualOff	1	33				1634415406.5874
Fix	1	34	0		+	1634415406.8791
StimVisualOn	1	34	F	left	AlexBrush-Regular.ttf	1634415406.7124
StimVisualOff	1	34				1634415406.8374
Fix	1	35	0		+	1634415407.0874
StimVisualOn	1	35	p	left	LiberationMono-Regular.ttf	1634415406.9624
StimVisualOff	1	35				1634415407.0666
Fix	1	36	0		+	1634415407.3583
StimVisualOn	1	36	k	left	AlexBrush-Regular.ttf	1634415407.1916
StimVisualOff	1	36				1634415407.3166
Fix	1	37	0		+	1634415407.5666
StimVisualOn	1	37	b	left	LiberationMono-Regular.ttf	1634415407.4416
StimVisualOff	1	37				1634415407.5458
Fix	1	38	0		+	1634415407.7958
StimVisualOn	1	38	X	left	LiberationMono-Regular.ttf	1634415407.6708
StimVisualOff	1	38				1634415407.775
Fix	1	39	0		+	1634415408.025
StimVisualOn	1	39	P	right	AlexBrush-Regular.ttf	1634415407.9
StimVisualOff	1	39				1634415408.0041
Fix	1	40	0		+	1634415408.3166
StimVisualOn	1	40	s	left	LiberationMono-Regular.ttf	1634415408.15
StimVisualOff	1	40				1634415408.275
Fix	1	41	0		+	1634415408.5875
StimVisualOn	1	41	Q	left	AlexBrush-Regular.ttf	1634415408.4208
StimVisualOff	1	41				1634415408.5458
Fix	1	42	0		+	1634415408.8375
StimVisualOn	1	42	M	left	LiberationMono-Regular.ttf	1634415408.6708
StimVisualOff	1	42				1634415408.7958
Fix	1	43	0		+	1634415409.0875
StimVisualOn	1	43	p	left	AlexBrush-Regular.ttf	1634415408.9416
StimVisualOff	1	43				1634415409.0667
Fix	1	44	0		+	1634415409.3792
StimVisualOn	1	44	u	right	AlexBrush-Regular.ttf	1634415409.2125
StimVisualOff	1	44				1634415409.3375
Fix	1	45	0		+	1634415409.6292
StimVisualOn	1	45	W	right	LiberationMono-Regular.ttf	1634415409.4625
StimVisualOff	1	45				1634415409.5875
Fix	1	46	0		+	1634415409.8792
StimVisualOn	1	46	H	right	LiberationMono-Regular.ttf	1634415409.7125
StimVisualOff	1	46				1634415409.8375
Fix	1	47	0		+	1634415410.1292
StimVisualOn	1	47	B	right	LiberationMono-Regular.ttf	1634415409.9625
StimVisualOff	1	47				1634415410.0875
Fix	1	48	0		+	1634415410.3583
StimVisualOn	1	48	x	left	AlexBrush-Regular.ttf	1634415410.2333
StimVisualOff	1	48				1634415410.3375
Fix	1	49	0		+	1634415410.5875
StimVisualOn	1	49	b	right	LiberationMono-Regular.ttf	1634415410.4625
StimVisualOff	1	49				1634415410.5667
Fix	1	50	0		+	1634415410.8583
StimVisualOn	1	50	p	right	LiberationMono-Regular.ttf	1634415410.6917
StimVisualOff	1	50				1634415410.8167
Fix	1	51	0		+	1634415411.0875
StimVisualOn	1	51	G	right	AlexBrush-Regular.ttf	1634415410.9625
StimVisualOff	1	51				1634415411.0667
Fix	1	52	0		+	1634415411.3167
StimVisualOn	1	52	U	right	LiberationMono-Regular.ttf	1634415411.1917
StimVisualOff	1	52				1634415411.2959
Fix	1	53	0		+	1634415411.5875
StimVisualOn	1	53	h	right	AlexBrush-Regular.ttf	1634415411.4209
StimVisualOff	1	53				1634415411.5459
Fix	1	54	0		+	1634415411.7959
StimVisualOn	1	54	J	left	AlexBrush-Regular.ttf	1634415411.6709
StimVisualOff	1	54				1634415411.775
Fix	1	55	0		+	1634415412.0667
StimVisualOn	1	55	y	right	LiberationMono-Regular.ttf	1634415411.9
StimVisualOff	1	55				1634415412.025
Fix	1	56	0		+	1634415412.3167
StimVisualOn	1	56	N	left	AlexBrush-Regular.ttf	1634415412.15
StimVisualOff	1	56				1634415412.275
Fix	1	57	0		+	1634415412.525
StimVisualOn	1	57	R	left	AlexBrush-Regular.ttf	1634415412.4
StimVisualOff	1	57				1634415412.5042
Fix	1	58	0		+	1634415412.7542
StimVisualOn	1	58	J	left	LiberationMono-Regular.ttf	1634415412.6292
StimVisualOff	1	58				1634415412.7334
Fix	1	59	0		+	1634415413.0251
StimVisualOn	1	59	C	left	AlexBrush-Regular.ttf	1634415412.8584
StimVisualOff	1	59				1634415412.9834
Fix	1	60	0		+	1634415413.2751
StimVisualOn	1	60	w	left	LiberationMono-Regular.ttf	1634415413.1084
StimVisualOff	1	60				1634415413.2334
Fix	1	61	0		+	1634415413.4834
StimVisualOn	1	61	d	right	AlexBrush-Regular.ttf	1634415413.3584
StimVisualOff	1	61				1634415413.4626
Fix	1	62	0		+	1634415413.7126
StimVisualOn	1	62	3	left	LiberationMono-Regular.ttf	1634415413.5876
StimVisualOff	1	62				1634415413.6917
Fix	1	63	0		+	1634415413.9834
StimVisualOn	1	63	Q	left	LiberationMono-Regular.ttf	1634415413.8167
StimVisualOff	1	63				1634415413.9417
Fix	1	64	0		+	1634415414.2334
StimVisualOn	1	64	W	right	LiberationMono-Regular.ttf	1634415414.0667
StimVisualOff	1	64				1634415414.1917
Fix	1	65	0		+	1634415414.5042
StimVisualOn	1	65	V	right	LiberationMono-Regular.ttf	1634415414.3376
StimVisualOff	1	65				1634415414.4626
Fix	1	66	0		+	1634415414.7126
StimVisualOn	1	66	a	left	LiberationMono-Regular.ttf	1634415414.5876
StimVisualOff	1	66				1634415414.6918
Fix	1	67	0		+	1634415414.9626
StimVisualOn	1	67	I	right	LiberationMono-Regular.ttf	1634415414.8168
StimVisualOff	1	67				1634415414.9209
Fix	1	68	0		+	1634415415.1709
StimVisualOn	1	68	s	left	LiberationMono-Regular.ttf	1634415415.0459
StimVisualOff	1	68				1634415415.1501
Fix	1	69	0		+	1634415415.4001
StimVisualOn	1	69	e	left	AlexBrush-Regular.ttf	1634415415.2751
StimVisualOff	1	69				1634415415.3793
Fix	1	70	0		+	1634415415.6709
StimVisualOn	1	70	f	right	AlexBrush-Regular.ttf	1634415415.5043
StimVisualOff	1	70				1634415415.6293
Fix	1	71	0		+	1634415415.8793
StimVisualOn	1	71	i	left	LiberationMono-Regular.ttf	1634415415.7543
StimVisualOff	1	71				1634415415.8584
Fix	1	72	0		+	1634415416.1084
StimVisualOn	1	72	Y	right	LiberationMono-Regular.ttf	1634415415.9834
StimVisualOff	1	72				1634415416.0876
Fix	1	73	0		+	1634415416.3793
StimVisualOn	1	73	x	right	LiberationMono-Regular.ttf	1634415416.2126
StimVisualOff	1	73				1634415416.3376
Fix	1	74	0		+	1634415416.5876
StimVisualOn	1	74	E	right	LiberationMono-Regular.ttf	1634415416.4626
StimVisualOff	1	74				1634415416.5668
Fix	1	75	0		+	1634415416.8376
StimVisualOn	1	75	G	right	AlexBrush-Regular.ttf	1634415416.6918
StimVisualOff	1	75				1634415416.796
Fix	1	76	0		+	1634415417.0876
