Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634422094.8695	
BlockStart	1	0	0		-	1634422096.518	
Fix	1	0	0		+	1634422096.5547
StimVisualOn	1	1	A	center	LiberationMono-Regular.ttf	1634422098.1173
StimVisualOff	1	1				1634422098.2214
StimVisualOn	1	2	K	center	LiberationMono-Regular.ttf	1634422098.3464
StimVisualOff	1	2				1634422098.4506
StimVisualOn	1	3	Y	center	LiberationMono-Regular.ttf	1634422098.5756
StimVisualOff	1	3				1634422098.6798
StimVisualOn	1	4	G	center	AlexBrush-Regular.ttf	1634422098.8256
StimVisualOff	1	4				1634422098.9506
StimVisualOn	1	5	m	center	AlexBrush-Regular.ttf	1634422099.0965
StimVisualOff	1	5				1634422099.2215
StimVisualOn	1	6	R	center	AlexBrush-Regular.ttf	1634422099.3673
StimVisualOff	1	6				1634422099.4923
StimVisualOn	1	7	g	center	AlexBrush-Regular.ttf	1634422099.6381
StimVisualOff	1	7				1634422099.7631
StimVisualOn	1	8	g	center	AlexBrush-Regular.ttf	1634422099.909
StimVisualOff	1	8				1634422100.034
StimVisualOn	1	9	l	center	AlexBrush-Regular.ttf	1634422100.1798
StimVisualOff	1	9				1634422100.3048
StimVisualOn	1	10	K	center	AlexBrush-Regular.ttf	1634422100.4506
StimVisualOff	1	10				1634422100.5548
StimVisualOn	1	11	E	center	LiberationMono-Regular.ttf	1634422100.6798
StimVisualOff	1	11				1634422100.784
StimVisualOn	1	12	x	center	LiberationMono-Regular.ttf	1634422100.909
StimVisualOff	1	12				1634422101.0131
StimVisualOn	1	13	C	center	AlexBrush-Regular.ttf	1634422101.159
StimVisualOff	1	13				1634422101.284
StimVisualOn	1	14	h	center	LiberationMono-Regular.ttf	1634422101.4298
StimVisualOff	1	14				1634422101.534
StimVisualOn	1	15	A	center	LiberationMono-Regular.ttf	1634422101.659
StimVisualOff	1	15				1634422101.7632
StimVisualOn	1	16	J	center	LiberationMono-Regular.ttf	1634422101.909
StimVisualOff	1	16				1634422102.0132
StimVisualOn	1	17	B	center	LiberationMono-Regular.ttf	1634422102.159
StimVisualOff	1	17				1634422102.284
StimVisualOn	1	18	p	center	AlexBrush-Regular.ttf	1634422102.4298
StimVisualOff	1	18				1634422102.5548
StimVisualOn	1	19	h	center	AlexBrush-Regular.ttf	1634422102.7007
StimVisualOff	1	19				1634422102.8257
StimVisualOn	1	20	M	center	LiberationMono-Regular.ttf	1634422102.9507
StimVisualOff	1	20				1634422103.0757
StimVisualOn	1	21	e	center	LiberationMono-Regular.ttf	1634422103.2215
StimVisualOff	1	21				1634422103.3257
StimVisualOn	1	22	c	center	LiberationMono-Regular.ttf	1634422103.4507
StimVisualOff	1	22				1634422103.5549
StimVisualOn	1	23	F	center	AlexBrush-Regular.ttf	1634422103.6799
StimVisualOff	1	23				1634422103.784
StimVisualOn	1	24	k	center	LiberationMono-Regular.ttf	1634422103.909
StimVisualOff	1	24				1634422104.034
StimVisualOn	1	25	e	center	AlexBrush-Regular.ttf	1634422104.1799
StimVisualOff	1	25				1634422104.3049
StimVisualOn	1	26	O	center	AlexBrush-Regular.ttf	1634422104.4507
StimVisualOff	1	26				1634422104.5549
StimVisualOn	1	27	T	center	LiberationMono-Regular.ttf	1634422104.6799
StimVisualOff	1	27				1634422104.784
StimVisualOn	1	28	P	center	LiberationMono-Regular.ttf	1634422104.9091
StimVisualOff	1	28				1634422105.0341
StimVisualOn	1	29	D	center	LiberationMono-Regular.ttf	1634422105.1799
StimVisualOff	1	29				1634422105.3049
StimVisualOn	1	30	u	center	AlexBrush-Regular.ttf	1634422105.4507
StimVisualOff	1	30				1634422105.5549
StimVisualOn	1	31	C	center	LiberationMono-Regular.ttf	1634422105.6799
StimVisualOff	1	31				1634422105.7841
StimVisualOn	1	32	E	center	LiberationMono-Regular.ttf	1634422105.9091
StimVisualOff	1	32				1634422106.0341
StimVisualOn	1	33	P	center	LiberationMono-Regular.ttf	1634422106.1799
StimVisualOff	1	33				1634422106.3049
StimVisualOn	1	34	O	center	AlexBrush-Regular.ttf	1634422106.4507
StimVisualOff	1	34				1634422106.5757
StimVisualOn	1	35	W	center	LiberationMono-Regular.ttf	1634422106.7216
StimVisualOff	1	35				1634422106.8466
StimVisualOn	1	36	3	center	LiberationMono-Regular.ttf	1634422106.9924
StimVisualOff	1	36				1634422107.0966
StimVisualOn	1	37	b	center	AlexBrush-Regular.ttf	1634422107.2216
StimVisualOff	1	37				1634422107.3258
StimVisualOn	1	38	j	center	AlexBrush-Regular.ttf	1634422107.4508
StimVisualOff	1	38				1634422107.5758
StimVisualOn	1	39	f	center	AlexBrush-Regular.ttf	1634422107.7216
StimVisualOff	1	39				1634422107.8258
StimVisualOn	1	40	G	center	AlexBrush-Regular.ttf	1634422107.9508
StimVisualOff	1	40				1634422108.0549
StimVisualOn	1	41	k	center	LiberationMono-Regular.ttf	1634422108.1799
StimVisualOff	1	41				1634422108.2841
StimVisualOn	1	42	q	center	LiberationMono-Regular.ttf	1634422108.4091
StimVisualOff	1	42				1634422108.5341
StimVisualOn	1	43	N	center	AlexBrush-Regular.ttf	1634422108.6799
StimVisualOff	1	43				1634422108.805
StimVisualOn	1	44	J	center	LiberationMono-Regular.ttf	1634422108.9508
StimVisualOff	1	44				1634422109.055
StimVisualOn	1	45	t	center	LiberationMono-Regular.ttf	1634422109.18
StimVisualOff	1	45				1634422109.2841
StimVisualOn	1	46	y	center	LiberationMono-Regular.ttf	1634422109.4091
StimVisualOff	1	46				1634422109.5341
StimVisualOn	1	47	J	center	LiberationMono-Regular.ttf	1634422109.6591
StimVisualOff	1	47				1634422109.7841
StimVisualOn	1	48	B	center	AlexBrush-Regular.ttf	1634422109.93
StimVisualOff	1	48				1634422110.0341
StimVisualOn	1	49	V	center	AlexBrush-Regular.ttf	1634422110.1591
StimVisualOff	1	49				1634422110.2633
StimVisualOn	1	50	C	center	LiberationMono-Regular.ttf	1634422110.3883
StimVisualOff	1	50				1634422110.5133
StimVisualOn	1	51	S	center	LiberationMono-Regular.ttf	1634422110.6591
StimVisualOff	1	51				1634422110.7841
StimVisualOn	1	52	T	center	AlexBrush-Regular.ttf	1634422110.93
StimVisualOff	1	52				1634422111.0342
StimVisualOn	1	53	B	center	AlexBrush-Regular.ttf	1634422111.1592
StimVisualOff	1	53				1634422111.2633
StimVisualOn	1	54	V	center	AlexBrush-Regular.ttf	1634422111.3883
StimVisualOff	1	54				1634422111.4925
StimVisualOn	1	55	P	center	LiberationMono-Regular.ttf	1634422111.6175
StimVisualOff	1	55				1634422111.7425
StimVisualOn	1	56	L	center	LiberationMono-Regular.ttf	1634422111.8675
StimVisualOff	1	56				1634422111.9925
StimVisualOn	1	57	b	center	AlexBrush-Regular.ttf	1634422112.1383
StimVisualOff	1	57				1634422112.2633
StimVisualOn	1	58	w	center	AlexBrush-Regular.ttf	1634422112.4092
StimVisualOff	1	58				1634422112.5342
StimVisualOn	1	59	U	center	LiberationMono-Regular.ttf	1634422112.68
StimVisualOff	1	59				1634422112.805
StimVisualOn	1	60	y	center	LiberationMono-Regular.ttf	1634422112.93
StimVisualOff	1	60				1634422113.0342
StimVisualOn	1	61	G	center	LiberationMono-Regular.ttf	1634422113.1592
StimVisualOff	1	61				1634422113.2634
StimVisualOn	1	62	v	center	LiberationMono-Regular.ttf	1634422113.3884
StimVisualOff	1	62				1634422113.5134
StimVisualOn	1	63	b	center	AlexBrush-Regular.ttf	1634422113.6384
StimVisualOff	1	63				1634422113.7634
StimVisualOn	1	64	B	center	LiberationMono-Regular.ttf	1634422113.8884
StimVisualOff	1	64				1634422113.9925
StimVisualOn	1	65	H	center	LiberationMono-Regular.ttf	1634422114.1175
StimVisualOff	1	65				1634422114.2425
StimVisualOn	1	66	i	center	LiberationMono-Regular.ttf	1634422114.3675
StimVisualOff	1	66				1634422114.4925
StimVisualOn	1	67	C	center	AlexBrush-Regular.ttf	1634422114.6384
StimVisualOff	1	67				1634422114.7634
StimVisualOn	1	68	p	center	LiberationMono-Regular.ttf	1634422114.9092
StimVisualOff	1	68				1634422115.0342
StimVisualOn	1	69	l	center	LiberationMono-Regular.ttf	1634422115.1592
StimVisualOff	1	69				1634422115.2842
StimVisualOn	1	70	6	center	LiberationMono-Regular.ttf	1634422115.4301
StimVisualOff	1	70				1634422115.5551
StimVisualOn	1	71	k	center	AlexBrush-Regular.ttf	1634422115.7009
StimVisualOff	1	71				1634422115.8259
StimVisualOn	1	72	Y	center	LiberationMono-Regular.ttf	1634422115.9509
StimVisualOff	1	72				1634422116.0759
StimVisualOn	1	73	a	center	AlexBrush-Regular.ttf	1634422116.2217
StimVisualOff	1	73				1634422116.3467
StimVisualOn	1	74	T	center	AlexBrush-Regular.ttf	1634422116.4926
StimVisualOff	1	74				1634422116.6176
StimVisualOn	1	75	c	center	AlexBrush-Regular.ttf	1634422116.7426
StimVisualOff	1	75				1634422116.8468
StimVisualOn	1	76	W	center	LiberationMono-Regular.ttf	1634422116.9718
StimVisualOff	1	76				1634422117.0759
StimVisualOn	1	77	l	center	LiberationMono-Regular.ttf	1634422117.2009
StimVisualOff	1	77				1634422117.3259
StimVisualOn	1	78	J	center	AlexBrush-Regular.ttf	1634422117.4509
StimVisualOff	1	78				1634422117.5759
StimVisualOn	1	79	g	center	LiberationMono-Regular.ttf	1634422117.7218
StimVisualOff	1	79				1634422117.8468
StimVisualOn	1	80	D	center	AlexBrush-Regular.ttf	1634422117.9926
StimVisualOff	1	80				1634422118.1176
StimVisualOn	1	81	I	center	LiberationMono-Regular.ttf	1634422118.2426
StimVisualOff	1	81				1634422118.3468
StimVisualOn	1	82	F	center	AlexBrush-Regular.ttf	1634422118.4718
StimVisualOff	1	82				1634422118.576
StimVisualOn	1	83	X	center	LiberationMono-Regular.ttf	1634422118.701
StimVisualOff	1	83				1634422118.8051
StimVisualOn	1	84	b	center	AlexBrush-Regular.ttf	1634422118.9301
StimVisualOff	1	84				1634422119.0551
StimVisualOn	1	85	m	center	AlexBrush-Regular.ttf	1634422119.201
StimVisualOff	1	85				1634422119.326
StimVisualOn	1	86	J	center	AlexBrush-Regular.ttf	1634422119.4718
StimVisualOff	1	86				1634422119.576
StimVisualOn	1	87	D	center	LiberationMono-Regular.ttf	1634422119.701
StimVisualOff	1	87				1634422119.826
StimVisualOn	1	88	B	center	LiberationMono-Regular.ttf	1634422119.951
StimVisualOff	1	88				1634422120.076
StimVisualOn	1	89	o	center	AlexBrush-Regular.ttf	1634422120.2218
StimVisualOff	1	89				1634422120.3468
StimVisualOn	1	90	j	center	AlexBrush-Regular.ttf	1634422120.4927
StimVisualOff	1	90				1634422120.6176
StimVisualOn	1	91	B	center	AlexBrush-Regular.ttf	1634422120.7427
StimVisualOff	1	91				1634422120.8468
StimVisualOn	1	92	R	center	AlexBrush-Regular.ttf	1634422120.9718
StimVisualOff	1	92				1634422121.0968
StimVisualOn	1	93	g	center	LiberationMono-Regular.ttf	1634422121.2427
StimVisualOff	1	93				1634422121.3677
StimVisualOn	1	94	s	center	LiberationMono-Regular.ttf	1634422121.4927
StimVisualOff	1	94				1634422121.5968
StimVisualOn	1	95	E	center	LiberationMono-Regular.ttf	1634422121.7218
StimVisualOff	1	95				1634422121.826
StimVisualOn	1	96	t	center	LiberationMono-Regular.ttf	1634422121.951
StimVisualOff	1	96				1634422122.076
StimVisualOn	1	97	m	center	AlexBrush-Regular.ttf	1634422122.2218
StimVisualOff	1	97				1634422122.3468
StimVisualOn	1	98	b	center	LiberationMono-Regular.ttf	1634422122.4718
StimVisualOff	1	98				1634422122.5968
StimVisualOn	1	99	E	center	LiberationMono-Regular.ttf	1634422122.7427
StimVisualOff	1	99				1634422122.8677
StimVisualOn	1	100	i	center	LiberationMono-Regular.ttf	1634422123.0135
StimVisualOff	1	100				1634422123.1177
StimVisualOn	1	101	o	center	AlexBrush-Regular.ttf	1634422123.2427
StimVisualOff	1	101				1634422123.3469
StimVisualOn	1	102	z	center	LiberationMono-Regular.ttf	1634422123.4719
StimVisualOff	1	102				1634422123.576
StimVisualOn	1	103	b	center	LiberationMono-Regular.ttf	1634422123.701
StimVisualOff	1	103				1634422123.8052
StimVisualOn	1	104	L	center	LiberationMono-Regular.ttf	1634422123.951
StimVisualOff	1	104				1634422124.076
StimVisualOn	1	105	D	center	LiberationMono-Regular.ttf	1634422124.2219
StimVisualOff	1	105				1634422124.326
StimVisualOn	1	106	p	center	LiberationMono-Regular.ttf	1634422124.4719
