Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634497712.0844	
BlockStart	1	0	0		-	1634497713.4202	
Fix	1	0	0		+	1634497713.4694
KeyPress	1	1				1634497713.4154	
StimVisualOn	1	1	ermaf	center	LiberationMono-Regular.ttf	1634497715.0319
StimVisualOff	1	1				1634497715.3028
StimVisualOn	1	2	numaf	center	LiberationMono-Regular.ttf	1634497715.5944
StimVisualOff	1	2				1634497715.8653
StimVisualOn	1	3	mafly	center	LiberationMono-Regular.ttf	1634497716.1569
StimVisualOff	1	3				1634497716.4278
StimVisualOn	1	4	reviv	center	LiberationMono-Regular.ttf	1634497716.7194
StimVisualOff	1	4				1634497716.9903
StimVisualOn	1	5	nusidtis	center	LiberationMono-Regular.ttf	1634497717.282
StimVisualOff	1	5				1634497717.5528
StimVisualOn	1	6	unrecorable	center	LiberationMono-Regular.ttf	1634497717.8445
StimVisualOff	1	6				1634497718.1153
StimVisualOn	1	7	ernucorlabe	center	LiberationMono-Regular.ttf	1634497718.407
StimVisualOff	1	7				1634497718.6778
StimVisualOn	1	8	retisable	center	LiberationMono-Regular.ttf	1634497718.9695
StimVisualOff	1	8				1634497719.2403
StimVisualOn	1	9	uncorly	center	LiberationMono-Regular.ttf	1634497719.532
StimVisualOff	1	9				1634497719.8028
StimVisualOn	1	10	nusidkagre	center	LiberationMono-Regular.ttf	1634497720.0945
StimVisualOff	1	10				1634497720.3653
StimVisualOn	1	11	7	center	LiberationMono-Regular.ttf	1634497720.657
StimVisualOff	1	11				1634497720.9279
StimVisualOn	1	12	sidtis	center	LiberationMono-Regular.ttf	1634497721.2195
StimVisualOff	1	12				1634497721.4904
StimVisualOn	1	13	ernuvilvy	center	LiberationMono-Regular.ttf	1634497721.782
StimVisualOff	1	13				1634497722.0529
StimVisualOn	1	14	viv	center	LiberationMono-Regular.ttf	1634497722.3445
StimVisualOff	1	14				1634497722.6154
StimVisualOn	1	15	sidcolry	center	LiberationMono-Regular.ttf	1634497722.9071
StimVisualOff	1	15				1634497723.1779
StimVisualOn	1	16	nusidtisre	center	LiberationMono-Regular.ttf	1634497723.4696
StimVisualOff	1	16				1634497723.7404
StimVisualOn	1	17	remaf	center	LiberationMono-Regular.ttf	1634497724.0321
StimVisualOff	1	17				1634497724.3029
StimVisualOn	1	18	kaglabe	center	LiberationMono-Regular.ttf	1634497724.5946
StimVisualOff	1	18				1634497724.8654
StimVisualOn	1	19	sidmaf	center	LiberationMono-Regular.ttf	1634497725.1571
StimVisualOff	1	19				1634497725.4279
StimVisualOn	1	20	nusidfodre	center	LiberationMono-Regular.ttf	1634497725.7196
StimVisualOff	1	20				1634497725.9904
StimVisualOn	1	21	sidfodlabe	center	LiberationMono-Regular.ttf	1634497726.2821
StimVisualOff	1	21				1634497726.5529
StimVisualOn	1	22	ernufoldy	center	LiberationMono-Regular.ttf	1634497726.8446
StimVisualOff	1	22				1634497727.1155
StimVisualOn	1	23	unrecorly	center	LiberationMono-Regular.ttf	1634497727.3863
StimVisualOff	1	23				1634497727.6571
StimVisualOn	1	24	sidkalgy	center	LiberationMono-Regular.ttf	1634497727.9488
StimVisualOff	1	24				1634497728.2196
StimVisualOn	1	25	kaglabe	center	LiberationMono-Regular.ttf	1634497728.5113
StimVisualOff	1	25				1634497728.7821
StimVisualOn	1	26	9	center	LiberationMono-Regular.ttf	1634497729.0738
StimVisualOff	1	26				1634497729.3447
StimVisualOn	1	27	undiskagly	center	LiberationMono-Regular.ttf	1634497729.6363
StimVisualOff	1	27				1634497729.9072
StimVisualOn	1	28	unrecorly	center	LiberationMono-Regular.ttf	1634497730.1988
StimVisualOff	1	28				1634497730.4697
StimVisualOn	1	29	ertis	center	LiberationMono-Regular.ttf	1634497730.7613
StimVisualOff	1	29				1634497731.0322
StimVisualOn	1	30	vivlabe	center	LiberationMono-Regular.ttf	1634497731.3239
StimVisualOff	1	30				1634497731.5947
StimVisualOn	1	31	sidvilvy	center	LiberationMono-Regular.ttf	1634497731.8864
StimVisualOff	1	31				1634497732.1572
StimVisualOn	1	32	ernukagre	center	LiberationMono-Regular.ttf	1634497732.4489
StimVisualOff	1	32				1634497732.7197
StimVisualOn	1	33	diskag	center	LiberationMono-Regular.ttf	1634497733.0114
StimVisualOff	1	33				1634497733.2822
StimVisualOn	1	34	undiscorable	center	LiberationMono-Regular.ttf	1634497733.5739
StimVisualOff	1	34				1634497733.8447
StimVisualOn	1	35	unrekagly	center	LiberationMono-Regular.ttf	1634497734.1364
StimVisualOff	1	35				1634497734.4072
StimVisualOn	1	36	ernucolry	center	LiberationMono-Regular.ttf	1634497734.6989
StimVisualOff	1	36				1634497734.9698
StimVisualOn	1	37	dismafable	center	LiberationMono-Regular.ttf	1634497735.2614
StimVisualOff	1	37				1634497735.5323
StimVisualOn	1	38	sidcor	center	LiberationMono-Regular.ttf	1634497735.8239
StimVisualOff	1	38				1634497736.0948
StimVisualOn	1	39	unvivly	center	LiberationMono-Regular.ttf	1634497736.3864
StimVisualOff	1	39				1634497736.6573
StimVisualOn	1	40	kalgy	center	LiberationMono-Regular.ttf	1634497736.949
StimVisualOff	1	40				1634497737.2198
StimVisualOn	1	41	ernufod	center	LiberationMono-Regular.ttf	1634497737.5115
StimVisualOff	1	41				1634497737.7823
StimVisualOn	1	42	kag	center	LiberationMono-Regular.ttf	1634497738.074
StimVisualOff	1	42				1634497738.3448
StimVisualOn	1	43	kaglabe	center	LiberationMono-Regular.ttf	1634497738.6365
StimVisualOff	1	43				1634497738.9073
StimVisualOn	1	44	5	center	LiberationMono-Regular.ttf	1634497739.199
StimVisualOff	1	44				1634497739.4698
StimVisualOn	1	45	unrevivly	center	LiberationMono-Regular.ttf	1634497739.7615
StimVisualOff	1	45				1634497740.0323
StimVisualOn	1	46	ertilsy	center	LiberationMono-Regular.ttf	1634497740.324
StimVisualOff	1	46				1634497740.5949
StimVisualOn	1	47	unrefodly	center	LiberationMono-Regular.ttf	1634497740.8865
StimVisualOff	1	47				1634497741.1574
StimVisualOn	1	48	nutislabe	center	LiberationMono-Regular.ttf	1634497741.449
StimVisualOff	1	48				1634497741.7199
StimVisualOn	1	49	fodable	center	LiberationMono-Regular.ttf	1634497742.0115
StimVisualOff	1	49				1634497742.2824
StimVisualOn	1	50	disfod	center	LiberationMono-Regular.ttf	1634497742.5741
StimVisualOff	1	50				1634497742.8449
StimVisualOn	1	51	nusidmalfy	center	LiberationMono-Regular.ttf	1634497743.1366
StimVisualOff	1	51				1634497743.4074
StimVisualOn	1	52	corlabe	center	LiberationMono-Regular.ttf	1634497743.6991
StimVisualOff	1	52				1634497743.9699
StimVisualOn	1	53	recor	center	LiberationMono-Regular.ttf	1634497744.2616
StimVisualOff	1	53				1634497744.5324
StimVisualOn	1	54	vilvy	center	LiberationMono-Regular.ttf	1634497744.8241
StimVisualOff	1	54				1634497745.0949
StimVisualOn	1	55	kagly	center	LiberationMono-Regular.ttf	1634497745.3866
StimVisualOff	1	55				1634497745.6574
StimVisualOn	1	56	5	center	LiberationMono-Regular.ttf	1634497745.9491
StimVisualOff	1	56				1634497746.2199
StimVisualOn	1	57	nusidfod	center	LiberationMono-Regular.ttf	1634497746.5116
StimVisualOff	1	57				1634497746.7825
StimVisualOn	1	58	fod	center	LiberationMono-Regular.ttf	1634497747.0741
StimVisualOff	1	58				1634497747.345
StimVisualOn	1	59	unrecor	center	LiberationMono-Regular.ttf	1634497747.6366
StimVisualOff	1	59				1634497747.9075
StimVisualOn	1	60	nusidtilsy	center	LiberationMono-Regular.ttf	1634497748.1991
StimVisualOff	1	60				1634497748.47
StimVisualOn	1	61	ernuviv	center	LiberationMono-Regular.ttf	1634497748.7617
StimVisualOff	1	61				1634497749.0325
StimVisualOn	1	62	fodable	center	LiberationMono-Regular.ttf	1634497749.3242
StimVisualOff	1	62				1634497749.595
StimVisualOn	1	63	undisfodable	center	LiberationMono-Regular.ttf	1634497749.8867
StimVisualOff	1	63				1634497750.1575
StimVisualOn	1	64	tiser	center	LiberationMono-Regular.ttf	1634497750.4492
StimVisualOff	1	64				1634497750.72
StimVisualOn	1	65	diskagable	center	LiberationMono-Regular.ttf	1634497751.0117
StimVisualOff	1	65				1634497751.2825
StimVisualOn	1	66	discorly	center	LiberationMono-Regular.ttf	1634497751.5742
StimVisualOff	1	66				1634497751.845
StimVisualOn	1	67	ernucorre	center	LiberationMono-Regular.ttf	1634497752.1367
StimVisualOff	1	67				1634497752.4075
StimVisualOn	1	68	ernuvilvy	center	LiberationMono-Regular.ttf	1634497752.6992
StimVisualOff	1	68				1634497752.9701
StimVisualOn	1	69	undistisable	center	LiberationMono-Regular.ttf	1634497753.2617
StimVisualOff	1	69				1634497753.5326
StimVisualOn	1	70	erviv	center	LiberationMono-Regular.ttf	1634497753.8242
StimVisualOff	1	70				1634497754.0951
StimVisualOn	1	71	nutislabe	center	LiberationMono-Regular.ttf	1634497754.3868
StimVisualOff	1	71				1634497754.6576
StimVisualOn	1	72	unrekagly	center	LiberationMono-Regular.ttf	1634497754.9493
StimVisualOff	1	72				1634497755.2201
StimVisualOn	1	73	disfodable	center	LiberationMono-Regular.ttf	1634497755.4909
StimVisualOff	1	73				1634497755.7618
StimVisualOn	1	74	ernumaf	center	LiberationMono-Regular.ttf	1634497756.0534
StimVisualOff	1	74				1634497756.3243
StimVisualOn	1	75	7	center	LiberationMono-Regular.ttf	1634497756.6159
StimVisualOff	1	75				1634497756.8868
StimVisualOn	1	76	recor	center	LiberationMono-Regular.ttf	1634497757.1785
StimVisualOff	1	76				1634497757.4493
StimVisualOn	1	77	ercolry	center	LiberationMono-Regular.ttf	1634497757.741
StimVisualOff	1	77				1634497758.0118
StimVisualOn	1	78	nuvivlabe	center	LiberationMono-Regular.ttf	1634497758.3035
StimVisualOff	1	78				1634497758.5743
StimVisualOn	1	79	vivly	center	LiberationMono-Regular.ttf	1634497758.866
StimVisualOff	1	79				1634497759.1368
StimVisualOn	1	80	nusidcor	center	LiberationMono-Regular.ttf	1634497759.4077
StimVisualOff	1	80				1634497759.6785
StimVisualOn	1	81	nusidfodlabe	center	LiberationMono-Regular.ttf	1634497759.9702
StimVisualOff	1	81				1634497760.241
StimVisualOn	1	82	nusidtislabe	center	LiberationMono-Regular.ttf	1634497760.5327
StimVisualOff	1	82				1634497760.8035
