Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634411348.2633	
BlockStart	1	0	0		-	1634411348.2691	
Fix	1	1	0		+	1634411348.4217
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634411348.2967
StimVisualOff	1	1				1634411348.4009
Fix	1	2	0		+	1634411348.6509
StimVisualOn	1	2	f	right	LiberationMono-Regular.ttf	1634411348.5259
StimVisualOff	1	2				1634411348.6301
Fix	1	3	0		+	1634411348.8801
StimVisualOn	1	3	Y	right	AlexBrush-Regular.ttf	1634411348.7551
StimVisualOff	1	3				1634411348.8592
Fix	1	4	0		+	1634411349.1092
StimVisualOn	1	4	m	right	LiberationMono-Regular.ttf	1634411348.9842
StimVisualOff	1	4				1634411349.0884
Fix	1	5	0		+	1634411349.3384
StimVisualOn	1	5	d	right	AlexBrush-Regular.ttf	1634411349.2134
StimVisualOff	1	5				1634411349.3176
Fix	1	6	0		+	1634411349.6093
StimVisualOn	1	6	i	right	LiberationMono-Regular.ttf	1634411349.4426
StimVisualOff	1	6				1634411349.5676
Fix	1	7	0		+	1634411349.8593
StimVisualOn	1	7	G	left	AlexBrush-Regular.ttf	1634411349.6926
StimVisualOff	1	7				1634411349.8176
Fix	1	8	0		+	1634411350.1093
StimVisualOn	1	8	t	left	AlexBrush-Regular.ttf	1634411349.9426
StimVisualOff	1	8				1634411350.0676
Fix	1	9	0		+	1634411350.3593
StimVisualOn	1	9	H	right	LiberationMono-Regular.ttf	1634411350.1926
StimVisualOff	1	9				1634411350.3176
Fix	1	10	0		+	1634411350.6301
StimVisualOn	1	10	o	right	AlexBrush-Regular.ttf	1634411350.4634
StimVisualOff	1	10				1634411350.5884
Fix	1	11	0		+	1634411350.9009
StimVisualOn	1	11	p	left	LiberationMono-Regular.ttf	1634411350.7343
StimVisualOff	1	11				1634411350.8593
Fix	1	12	0		+	1634411351.1093
StimVisualOn	1	12	I	right	AlexBrush-Regular.ttf	1634411350.9843
StimVisualOff	1	12				1634411351.0884
Fix	1	13	0		+	1634411351.3801
StimVisualOn	1	13	d	left	AlexBrush-Regular.ttf	1634411351.2134
StimVisualOff	1	13				1634411351.3384
Fix	1	14	0		+	1634411351.6301
StimVisualOn	1	14	q	left	AlexBrush-Regular.ttf	1634411351.4635
StimVisualOff	1	14				1634411351.5885
Fix	1	15	0		+	1634411351.8593
StimVisualOn	1	15	J	right	AlexBrush-Regular.ttf	1634411351.7343
StimVisualOff	1	15				1634411351.8385
Fix	1	16	0		+	1634411352.0885
StimVisualOn	1	16	S	left	AlexBrush-Regular.ttf	1634411351.9635
StimVisualOff	1	16				1634411352.0676
Fix	1	17	0		+	1634411352.3593
StimVisualOn	1	17	s	right	AlexBrush-Regular.ttf	1634411352.1926
StimVisualOff	1	17				1634411352.3176
Fix	1	18	0		+	1634411352.6093
StimVisualOn	1	18	p	right	LiberationMono-Regular.ttf	1634411352.4426
StimVisualOff	1	18				1634411352.5676
Fix	1	19	0		+	1634411352.8593
