Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634385251.4265	
BlockStart	1	0	0		-	1634385251.4353	
Fix	1	1	0		+	1634385251.4613
StimVisualOn	1	1	     a	right	LiberationMono-Regular.ttf	1634385252.128
StimVisualOff	1	1				1634385252.253
Fix	1	2	0		+	1634385252.378
StimVisualOn	1	2	     d	right	LiberationMono-Regular.ttf	1634385253.0447
StimVisualOff	1	2				1634385253.1697
Fix	1	3	0		+	1634385253.2947
StimVisualOn	1	3	     0	right	LiberationMono-Regular.ttf	1634385253.9613
StimVisualOff	1	3				1634385254.0863
Fix	1	4	0		+	1634385254.2113
StimVisualOn	1	4	E     	left	AlexBrush-Regular.ttf	1634385254.878
StimVisualOff	1	4				1634385255.003
Fix	1	5	0		+	1634385255.128
StimVisualOn	1	5	D     	left	LiberationMono-Regular.ttf	1634385255.7947
StimVisualOff	1	5				1634385255.9197
Fix	1	6	0		+	1634385256.0447
StimVisualOn	1	6	     1	right	AlexBrush-Regular.ttf	1634385256.7114
StimVisualOff	1	6				1634385256.8364
Fix	1	7	0		+	1634385256.9614
StimVisualOn	1	7	B     	left	LiberationMono-Regular.ttf	1634385257.6072
StimVisualOff	1	7				1634385257.7322
Fix	1	8	0		+	1634385257.8572
StimVisualOn	1	8	     1	right	LiberationMono-Regular.ttf	1634385258.5239
StimVisualOff	1	8				1634385258.6281
Fix	1	9	0		+	1634385258.7531
StimVisualOn	1	9	     E	right	LiberationMono-Regular.ttf	1634385259.4198
StimVisualOff	1	9				1634385259.5448
Fix	1	10	0		+	1634385259.6698
StimVisualOn	1	10	     1	right	LiberationMono-Regular.ttf	1634385260.3364
StimVisualOff	1	10				1634385260.4614
Fix	1	11	0		+	1634385260.5865
StimVisualOn	1	11	1     	left	AlexBrush-Regular.ttf	1634385261.2531
StimVisualOff	1	11				1634385261.3781
Fix	1	12	0		+	1634385261.5031
StimVisualOn	1	12	C     	left	AlexBrush-Regular.ttf	1634385262.1698
StimVisualOff	1	12				1634385262.274
Fix	1	13	0		+	1634385262.399
StimVisualOn	1	13	     1	right	LiberationMono-Regular.ttf	1634385263.0657
StimVisualOff	1	13				1634385263.1907
Fix	1	14	0		+	1634385263.3157
StimVisualOn	1	14	b     	left	LiberationMono-Regular.ttf	1634385263.9823
StimVisualOff	1	14				1634385264.0865
Fix	1	15	0		+	1634385264.2115
StimVisualOn	1	15	1     	left	LiberationMono-Regular.ttf	1634385264.8782
StimVisualOff	1	15				1634385264.9824
Fix	1	16	0		+	1634385265.1074
StimVisualOn	1	16	     1	right	AlexBrush-Regular.ttf	1634385265.774
StimVisualOff	1	16				1634385265.8782
Fix	1	17	0		+	1634385266.0032
StimVisualOn	1	17	b     	left	AlexBrush-Regular.ttf	1634385266.6699
StimVisualOff	1	17				1634385266.7949
Fix	1	18	0		+	1634385266.9199
StimVisualOn	1	18	     1	right	AlexBrush-Regular.ttf	1634385267.5866
StimVisualOff	1	18				1634385267.6907
Fix	1	19	0		+	1634385267.8157
