Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634431242.8598	
BlockStart	1	0	0		-	1634431243.6189	
Fix	1	0	0		+	1634431243.6491
KeyPress	1	1	A	center	LiberationMono-Regular.ttf	1634431243.6161	
StimVisualOn	1	1	A	center	LiberationMono-Regular.ttf	1634431245.2117
StimVisualOff	1	1				1634431245.3783
StimVisualOn	1	2	K	center	LiberationMono-Regular.ttf	1634431245.5658
StimVisualOff	1	2				1634431245.7325
StimVisualOn	1	3	Y	center	LiberationMono-Regular.ttf	1634431245.92
StimVisualOff	1	3				1634431246.0867
StimVisualOn	1	4	G	center	AlexBrush-Regular.ttf	1634431246.2742
StimVisualOff	1	4				1634431246.4408
KeyPress	1	5	m	center	AlexBrush-Regular.ttf	1634431246.4114	
StimVisualOn	1	5	m	center	AlexBrush-Regular.ttf	1634431246.6283
StimVisualOff	1	5				1634431246.795
StimVisualOn	1	6	R	center	AlexBrush-Regular.ttf	1634431246.9825
StimVisualOff	1	6				1634431247.1492
StimVisualOn	1	7	g	center	AlexBrush-Regular.ttf	1634431247.3367
StimVisualOff	1	7				1634431247.5034
StimVisualOn	1	8	g	center	AlexBrush-Regular.ttf	1634431247.6909
StimVisualOff	1	8				1634431247.8575
StimVisualOn	1	9	l	center	AlexBrush-Regular.ttf	1634431248.045
StimVisualOff	1	9				1634431248.2117
StimVisualOn	1	10	K	center	AlexBrush-Regular.ttf	1634431248.3992
StimVisualOff	1	10				1634431248.5659
StimVisualOn	1	11	E	center	LiberationMono-Regular.ttf	1634431248.7534
StimVisualOff	1	11				1634431248.9201
StimVisualOn	1	12	x	center	LiberationMono-Regular.ttf	1634431249.1076
StimVisualOff	1	12				1634431249.2742
StimVisualOn	1	13	C	center	AlexBrush-Regular.ttf	1634431249.4617
StimVisualOff	1	13				1634431249.6284
StimVisualOn	1	14	h	center	LiberationMono-Regular.ttf	1634431249.8159
StimVisualOff	1	14				1634431249.9826
StimVisualOn	1	15	A	center	LiberationMono-Regular.ttf	1634431250.1701
StimVisualOff	1	15				1634431250.3367
StimVisualOn	1	16	J	center	LiberationMono-Regular.ttf	1634431250.5451
StimVisualOff	1	16				1634431250.7117
StimVisualOn	1	17	B	center	LiberationMono-Regular.ttf	1634431250.8993
StimVisualOff	1	17				1634431251.0659
StimVisualOn	1	18	p	center	AlexBrush-Regular.ttf	1634431251.2534
StimVisualOff	1	18				1634431251.4201
StimVisualOn	1	19	h	center	AlexBrush-Regular.ttf	1634431251.6076
StimVisualOff	1	19				1634431251.7743
StimVisualOn	1	20	M	center	LiberationMono-Regular.ttf	1634431251.9618
StimVisualOff	1	20				1634431252.1284
StimVisualOn	1	21	e	center	LiberationMono-Regular.ttf	1634431252.3159
StimVisualOff	1	21				1634431252.4826
StimVisualOn	1	22	c	center	LiberationMono-Regular.ttf	1634431252.6701
StimVisualOff	1	22				1634431252.8368
StimVisualOn	1	23	F	center	AlexBrush-Regular.ttf	1634431253.0243
StimVisualOff	1	23				1634431253.191
StimVisualOn	1	24	k	center	LiberationMono-Regular.ttf	1634431253.3785
StimVisualOff	1	24				1634431253.5451
StimVisualOn	1	25	2	center	LiberationMono-Regular.ttf	1634431253.7326
StimVisualOff	1	25				1634431253.8993
StimVisualOn	1	26	p	center	AlexBrush-Regular.ttf	1634431254.0868
StimVisualOff	1	26				1634431254.2743
KeyPress	1	27	L	center	AlexBrush-Regular.ttf	1634431254.1906	
StimVisualOn	1	27	L	center	AlexBrush-Regular.ttf	1634431254.4618
StimVisualOff	1	27				1634431254.6285
StimVisualOn	1	28	e	center	LiberationMono-Regular.ttf	1634431254.816
StimVisualOff	1	28				1634431254.9827
StimVisualOn	1	29	x	center	LiberationMono-Regular.ttf	1634431255.1702
StimVisualOff	1	29				1634431255.3368
StimVisualOn	1	30	e	center	AlexBrush-Regular.ttf	1634431255.5243
StimVisualOff	1	30				1634431255.691
StimVisualOn	1	31	O	center	AlexBrush-Regular.ttf	1634431255.8785
StimVisualOff	1	31				1634431256.0452
StimVisualOn	1	32	T	center	LiberationMono-Regular.ttf	1634431256.2327
StimVisualOff	1	32				1634431256.3993
StimVisualOn	1	33	P	center	LiberationMono-Regular.ttf	1634431256.5869
StimVisualOff	1	33				1634431256.7535
StimVisualOn	1	34	D	center	LiberationMono-Regular.ttf	1634431256.941
StimVisualOff	1	34				1634431257.1077
StimVisualOn	1	35	u	center	AlexBrush-Regular.ttf	1634431257.2952
StimVisualOff	1	35				1634431257.4619
StimVisualOn	1	36	C	center	LiberationMono-Regular.ttf	1634431257.6494
StimVisualOff	1	36				1634431257.816
StimVisualOn	1	37	E	center	LiberationMono-Regular.ttf	1634431258.0244
StimVisualOff	1	37				1634431258.191
StimVisualOn	1	38	P	center	LiberationMono-Regular.ttf	1634431258.3786
StimVisualOff	1	38				1634431258.5452
StimVisualOn	1	39	O	center	AlexBrush-Regular.ttf	1634431258.7327
StimVisualOff	1	39				1634431258.8994
StimVisualOn	1	40	W	center	LiberationMono-Regular.ttf	1634431259.0869
StimVisualOff	1	40				1634431259.2536
StimVisualOn	1	41	b	center	AlexBrush-Regular.ttf	1634431259.4411
StimVisualOff	1	41				1634431259.6077
StimVisualOn	1	42	j	center	AlexBrush-Regular.ttf	1634431259.7952
StimVisualOff	1	42				1634431259.9619
StimVisualOn	1	43	f	center	AlexBrush-Regular.ttf	1634431260.1494
StimVisualOff	1	43				1634431260.3161
StimVisualOn	1	44	2	center	LiberationMono-Regular.ttf	1634431260.5036
StimVisualOff	1	44				1634431260.6703
StimVisualOn	1	45	j	center	LiberationMono-Regular.ttf	1634431260.8578
StimVisualOff	1	45				1634431261.0453
KeyPress	1	46	z	center	LiberationMono-Regular.ttf	1634431260.9661	
StimVisualOn	1	46	z	center	LiberationMono-Regular.ttf	1634431261.2328
StimVisualOff	1	46				1634431261.3994
StimVisualOn	1	47	u	center	AlexBrush-Regular.ttf	1634431261.5869
StimVisualOff	1	47				1634431261.7536
StimVisualOn	1	48	D	center	AlexBrush-Regular.ttf	1634431261.9411
StimVisualOff	1	48				1634431262.1078
StimVisualOn	1	49	G	center	AlexBrush-Regular.ttf	1634431262.2953
StimVisualOff	1	49				1634431262.4619
StimVisualOn	1	50	k	center	LiberationMono-Regular.ttf	1634431262.6495
StimVisualOff	1	50				1634431262.8161
StimVisualOn	1	51	q	center	LiberationMono-Regular.ttf	1634431263.0036
StimVisualOff	1	51				1634431263.1703
StimVisualOn	1	52	N	center	AlexBrush-Regular.ttf	1634431263.3578
StimVisualOff	1	52				1634431263.5453
StimVisualOn	1	53	J	center	LiberationMono-Regular.ttf	1634431263.7328
StimVisualOff	1	53				1634431263.8995
StimVisualOn	1	54	t	center	LiberationMono-Regular.ttf	1634431264.087
StimVisualOff	1	54				1634431264.2537
StimVisualOn	1	55	y	center	LiberationMono-Regular.ttf	1634431264.4411
StimVisualOff	1	55				1634431264.6078
StimVisualOn	1	56	J	center	LiberationMono-Regular.ttf	1634431264.7953
StimVisualOff	1	56				1634431264.962
StimVisualOn	1	57	B	center	AlexBrush-Regular.ttf	1634431265.1703
StimVisualOff	1	57				1634431265.337
StimVisualOn	1	58	V	center	AlexBrush-Regular.ttf	1634431265.5245
StimVisualOff	1	58				1634431265.6912
StimVisualOn	1	59	C	center	LiberationMono-Regular.ttf	1634431265.8787
StimVisualOff	1	59				1634431266.0453
StimVisualOn	1	60	S	center	LiberationMono-Regular.ttf	1634431266.2329
StimVisualOff	1	60				1634431266.3995
StimVisualOn	1	61	T	center	AlexBrush-Regular.ttf	1634431266.587
StimVisualOff	1	61				1634431266.7537
StimVisualOn	1	62	B	center	AlexBrush-Regular.ttf	1634431266.9412
StimVisualOff	1	62				1634431267.1079
StimVisualOn	1	63	V	center	AlexBrush-Regular.ttf	1634431267.2954
StimVisualOff	1	63				1634431267.462
StimVisualOn	1	64	P	center	LiberationMono-Regular.ttf	1634431267.6704
StimVisualOff	1	64				1634431267.837
StimVisualOn	1	65	L	center	LiberationMono-Regular.ttf	1634431268.0454
StimVisualOff	1	65				1634431268.2121
StimVisualOn	1	66	b	center	AlexBrush-Regular.ttf	1634431268.3996
StimVisualOff	1	66				1634431268.5662
StimVisualOn	1	67	w	center	AlexBrush-Regular.ttf	1634431268.7537
StimVisualOff	1	67				1634431268.9204
StimVisualOn	1	68	U	center	LiberationMono-Regular.ttf	1634431269.1079
StimVisualOff	1	68				1634431269.2746
StimVisualOn	1	69	y	center	LiberationMono-Regular.ttf	1634431269.4621
StimVisualOff	1	69				1634431269.6287
StimVisualOn	1	70	G	center	LiberationMono-Regular.ttf	1634431269.8162
StimVisualOff	1	70				1634431269.9829
StimVisualOn	1	71	v	center	LiberationMono-Regular.ttf	1634431270.1704
StimVisualOff	1	71				1634431270.3371
StimVisualOn	1	72	2	center	LiberationMono-Regular.ttf	1634431270.5246
StimVisualOff	1	72				1634431270.6913
StimVisualOn	1	73	o	center	AlexBrush-Regular.ttf	1634431270.8788
StimVisualOff	1	73				1634431271.0454
KeyPress	1	74	z	center	AlexBrush-Regular.ttf	1634431270.9557	
StimVisualOn	1	74	z	center	AlexBrush-Regular.ttf	1634431271.2329
StimVisualOff	1	74				1634431271.4204
StimVisualOn	1	75	W	center	AlexBrush-Regular.ttf	1634431271.6079
StimVisualOff	1	75				1634431271.7746
StimVisualOn	1	76	u	center	AlexBrush-Regular.ttf	1634431271.9829
StimVisualOff	1	76				1634431272.1496
StimVisualOn	1	77	b	center	AlexBrush-Regular.ttf	1634431272.3371
StimVisualOff	1	77				1634431272.5038
StimVisualOn	1	78	B	center	LiberationMono-Regular.ttf	1634431272.6913
StimVisualOff	1	78				1634431272.858
StimVisualOn	1	79	H	center	LiberationMono-Regular.ttf	1634431273.0455
StimVisualOff	1	79				1634431273.2121
