Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634406697.456	
BlockStart	1	0	0		-	1634406697.4638	
Fix	1	1	0		+	1634406697.6571
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634406697.4904
StimVisualOff	1	1				1634406697.6154
Fix	1	2	0		+	1634406697.9279
StimVisualOn	1	2	d	right	LiberationMono-Regular.ttf	1634406697.7612
StimVisualOff	1	2				1634406697.8863
Fix	1	3	0		+	1634406698.1779
StimVisualOn	1	3	0	right	LiberationMono-Regular.ttf	1634406698.0113
StimVisualOff	1	3				1634406698.1363
Fix	1	4	0		+	1634406698.4488
StimVisualOn	1	4	E	left	AlexBrush-Regular.ttf	1634406698.2821
StimVisualOff	1	4				1634406698.4071
Fix	1	5	0		+	1634406698.7196
StimVisualOn	1	5	D	left	LiberationMono-Regular.ttf	1634406698.5529
StimVisualOff	1	5				1634406698.6779
Fix	1	6	0		+	1634406698.9488
StimVisualOn	1	6	1	right	AlexBrush-Regular.ttf	1634406698.8029
StimVisualOff	1	6				1634406698.9071
Fix	1	7	0		+	1634406699.1988
StimVisualOn	1	7	B	left	LiberationMono-Regular.ttf	1634406699.0321
StimVisualOff	1	7				1634406699.1571
Fix	1	8	0		+	1634406699.4279
StimVisualOn	1	8	1	right	LiberationMono-Regular.ttf	1634406699.3029
StimVisualOff	1	8				1634406699.4071
Fix	1	9	0		+	1634406699.7196
StimVisualOn	1	9	E	right	LiberationMono-Regular.ttf	1634406699.5529
StimVisualOff	1	9				1634406699.6779
Fix	1	10	0		+	1634406699.928
StimVisualOn	1	10	1	right	LiberationMono-Regular.ttf	1634406699.803
StimVisualOff	1	10				1634406699.9071
Fix	1	11	0		+	1634406700.1988
StimVisualOn	1	11	1	left	AlexBrush-Regular.ttf	1634406700.0321
StimVisualOff	1	11				1634406700.1571
Fix	1	12	0		+	1634406700.4071
StimVisualOn	1	12	C	left	AlexBrush-Regular.ttf	1634406700.2821
StimVisualOff	1	12				1634406700.3863
Fix	1	13	0		+	1634406700.6363
StimVisualOn	1	13	1	right	LiberationMono-Regular.ttf	1634406700.5113
StimVisualOff	1	13				1634406700.6155
Fix	1	14	0		+	1634406700.928
StimVisualOn	1	14	b	left	LiberationMono-Regular.ttf	1634406700.7613
StimVisualOff	1	14				1634406700.8863
Fix	1	15	0		+	1634406701.1988
StimVisualOn	1	15	1	left	LiberationMono-Regular.ttf	1634406701.0321
StimVisualOff	1	15				1634406701.1571
Fix	1	16	0		+	1634406701.4488
StimVisualOn	1	16	1	right	AlexBrush-Regular.ttf	1634406701.303
StimVisualOff	1	16				1634406701.4071
Fix	1	17	0		+	1634406701.678
StimVisualOn	1	17	b	left	AlexBrush-Regular.ttf	1634406701.5321
StimVisualOff	1	17				1634406701.6572
Fix	1	18	0		+	1634406701.9072
StimVisualOn	1	18	1	right	AlexBrush-Regular.ttf	1634406701.7821
StimVisualOff	1	18				1634406701.8863
Fix	1	19	0		+	1634406702.1363
StimVisualOn	1	19	B	right	LiberationMono-Regular.ttf	1634406702.0113
StimVisualOff	1	19				1634406702.1155
