Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634416765.8682	
BlockStart	1	0	0		-	1634416772.3582	
Fix	1	0	0		+	1634416772.3821
Fix	1	1	0		+	1634416772.5487
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634416772.4237
StimVisualOff	1	1				1634416772.5279
Fix	1	2	0		+	1634416772.7779
StimVisualOn	1	2	f	right	LiberationMono-Regular.ttf	1634416772.6529
StimVisualOff	1	2				1634416772.7571
Fix	1	3	0		+	1634416773.0487
StimVisualOn	1	3	Y	right	AlexBrush-Regular.ttf	1634416772.8821
StimVisualOff	1	3				1634416773.0071
Fix	1	4	0		+	1634416773.3196
StimVisualOn	1	4	m	right	LiberationMono-Regular.ttf	1634416773.1529
StimVisualOff	1	4				1634416773.2779
Fix	1	5	0		+	1634416773.5279
StimVisualOn	1	5	d	right	AlexBrush-Regular.ttf	1634416773.4029
StimVisualOff	1	5				1634416773.5071
Fix	1	6	0		+	1634416773.7987
StimVisualOn	1	6	i	right	LiberationMono-Regular.ttf	1634416773.6321
StimVisualOff	1	6				1634416773.7571
Fix	1	7	0		+	1634416774.0071
StimVisualOn	1	7	G	left	AlexBrush-Regular.ttf	1634416773.8821
StimVisualOff	1	7				1634416773.9863
Fix	1	8	0		+	1634416774.2363
StimVisualOn	1	8	t	left	AlexBrush-Regular.ttf	1634416774.1113
StimVisualOff	1	8				1634416774.2154
Fix	1	9	0		+	1634416774.5071
StimVisualOn	1	9	H	right	LiberationMono-Regular.ttf	1634416774.3404
StimVisualOff	1	9				1634416774.4654
Fix	1	10	0		+	1634416774.7154
StimVisualOn	1	10	o	right	AlexBrush-Regular.ttf	1634416774.5904
StimVisualOff	1	10				1634416774.6946
Fix	1	11	0		+	1634416774.9863
StimVisualOn	1	11	p	left	LiberationMono-Regular.ttf	1634416774.8196
StimVisualOff	1	11				1634416774.9446
Fix	1	12	0		+	1634416775.2571
StimVisualOn	1	12	I	right	AlexBrush-Regular.ttf	1634416775.0904
StimVisualOff	1	12				1634416775.2154
Fix	1	13	0		+	1634416775.5071
StimVisualOn	1	13	d	left	AlexBrush-Regular.ttf	1634416775.3404
StimVisualOff	1	13				1634416775.4654
Fix	1	14	0		+	1634416775.7571
StimVisualOn	1	14	q	left	AlexBrush-Regular.ttf	1634416775.5904
StimVisualOff	1	14				1634416775.7154
Fix	1	15	0		+	1634416776.028
StimVisualOn	1	15	J	right	AlexBrush-Regular.ttf	1634416775.8613
StimVisualOff	1	15				1634416775.9863
Fix	1	16	0		+	1634416776.278
StimVisualOn	1	16	S	left	AlexBrush-Regular.ttf	1634416776.1113
StimVisualOff	1	16				1634416776.2363
Fix	1	17	0		+	1634416776.4863
StimVisualOn	1	17	s	right	AlexBrush-Regular.ttf	1634416776.3613
StimVisualOff	1	17				1634416776.4655
Fix	1	18	0		+	1634416776.7155
StimVisualOn	1	18	p	right	LiberationMono-Regular.ttf	1634416776.5905
StimVisualOff	1	18				1634416776.6946
Fix	1	19	0		+	1634416776.9863
StimVisualOn	1	19	x	right	LiberationMono-Regular.ttf	1634416776.8196
StimVisualOff	1	19				1634416776.9446
Fix	1	20	0		+	1634416777.2571
StimVisualOn	1	20	Y	left	LiberationMono-Regular.ttf	1634416777.0905
StimVisualOff	1	20				1634416777.2155
Fix	1	21	0		+	1634416777.5071
StimVisualOn	1	21	R	left	AlexBrush-Regular.ttf	1634416777.3405
StimVisualOff	1	21				1634416777.4655
Fix	1	22	0		+	1634416777.7571
StimVisualOn	1	22	b	right	AlexBrush-Regular.ttf	1634416777.5905
StimVisualOff	1	22				1634416777.7155
Fix	1	23	0		+	1634416778.0072
StimVisualOn	1	23	y	left	AlexBrush-Regular.ttf	1634416777.8405
StimVisualOff	1	23				1634416777.9655
Fix	1	24	0		+	1634416778.2155
StimVisualOn	1	24	D	left	LiberationMono-Regular.ttf	1634416778.0905
StimVisualOff	1	24				1634416778.1947
Fix	1	25	0		+	1634416778.4655
