Event	Block	Trial	Stimulus	Position	Font	Time
StimVisualOff	1	46				1634504212.4518
StimVisualOn	1	47	q	center	LiberationMono-Regular.ttf	1634504212.6393
StimVisualOff	1	47				1634504212.806
StimVisualOn	1	48	N	center	AlexBrush-Regular.ttf	1634504212.9935
StimVisualOff	1	48				1634504213.1601
StimVisualOn	1	49	J	center	LiberationMono-Regular.ttf	1634504213.3477
StimVisualOff	1	49				1634504213.5143
StimVisualOn	1	50	t	center	LiberationMono-Regular.ttf	1634504213.7018
StimVisualOff	1	50				1634504213.8685
StimVisualOn	1	51	y	center	LiberationMono-Regular.ttf	1634504214.056
StimVisualOff	1	51				1634504214.2227
StimVisualOn	1	52	J	center	LiberationMono-Regular.ttf	1634504214.4102
StimVisualOff	1	52				1634504214.5768
StimVisualOn	1	53	B	center	AlexBrush-Regular.ttf	1634504214.7643
StimVisualOff	1	53				1634504214.931
StimVisualOn	1	54	V	center	AlexBrush-Regular.ttf	1634504215.1185
StimVisualOff	1	54				1634504215.2852
StimVisualOn	1	55	C	center	LiberationMono-Regular.ttf	1634504215.4727
StimVisualOff	1	55				1634504215.6394
StimVisualOn	1	56	S	center	LiberationMono-Regular.ttf	1634504215.8269
StimVisualOff	1	56				1634504215.9935
StimVisualOn	1	57	T	center	AlexBrush-Regular.ttf	1634504216.181
StimVisualOff	1	57				1634504216.3477
StimVisualOn	1	58	B	center	AlexBrush-Regular.ttf	1634504216.5352
StimVisualOff	1	58				1634504216.7227
StimVisualOn	1	59	V	center	AlexBrush-Regular.ttf	1634504216.9102
StimVisualOff	1	59				1634504217.0769
StimVisualOn	1	60	P	center	LiberationMono-Regular.ttf	1634504217.2644
StimVisualOff	1	60				1634504217.4311
StimVisualOn	1	61	L	center	LiberationMono-Regular.ttf	1634504217.6186
StimVisualOff	1	61				1634504217.7852
StimVisualOn	1	62	b	center	AlexBrush-Regular.ttf	1634504217.9727
StimVisualOff	1	62				1634504218.1602
StimVisualOn	1	63	w	center	AlexBrush-Regular.ttf	1634504218.3477
StimVisualOff	1	63				1634504218.5144
StimVisualOn	1	64	1	center	LiberationMono-Regular.ttf	1634504218.7019
StimVisualOff	1	64				1634504218.8686
StimVisualOn	1	65	E	center	AlexBrush-Regular.ttf	1634504219.0561
StimVisualOff	1	65				1634504219.2227
StimVisualOn	1	66	E	center	LiberationMono-Regular.ttf	1634504219.4103
StimVisualOff	1	66				1634504219.5769
StimVisualOn	1	67	U	center	LiberationMono-Regular.ttf	1634504219.7644
StimVisualOff	1	67				1634504219.9311
StimVisualOn	1	68	y	center	LiberationMono-Regular.ttf	1634504220.1186
StimVisualOff	1	68				1634504220.2853
StimVisualOn	1	69	G	center	LiberationMono-Regular.ttf	1634504220.4728
StimVisualOff	1	69				1634504220.6394
StimVisualOn	1	70	v	center	LiberationMono-Regular.ttf	1634504220.8269
StimVisualOff	1	70				1634504220.9936
StimVisualOn	1	71	b	center	AlexBrush-Regular.ttf	1634504221.1811
StimVisualOff	1	71				1634504221.3478
StimVisualOn	1	72	B	center	LiberationMono-Regular.ttf	1634504221.5353
StimVisualOff	1	72				1634504221.7019
StimVisualOn	1	73	H	center	LiberationMono-Regular.ttf	1634504221.8895
StimVisualOff	1	73				1634504222.0561
StimVisualOn	1	74	i	center	LiberationMono-Regular.ttf	1634504222.2436
StimVisualOff	1	74				1634504222.4103
StimVisualOn	1	75	C	center	AlexBrush-Regular.ttf	1634504222.5978
StimVisualOff	1	75				1634504222.7645
StimVisualOn	1	76	p	center	LiberationMono-Regular.ttf	1634504222.952
StimVisualOff	1	76				1634504223.1186
StimVisualOn	1	77	l	center	LiberationMono-Regular.ttf	1634504223.3061
StimVisualOff	1	77				1634504223.4728
StimVisualOn	1	78	k	center	AlexBrush-Regular.ttf	1634504223.6603
StimVisualOff	1	78				1634504223.827
StimVisualOn	1	79	Y	center	LiberationMono-Regular.ttf	1634504224.0145
StimVisualOff	1	79				1634504224.1812
StimVisualOn	1	80	a	center	AlexBrush-Regular.ttf	1634504224.3687
StimVisualOff	1	80				1634504224.5353
StimVisualOn	1	81	T	center	AlexBrush-Regular.ttf	1634504224.7228
StimVisualOff	1	81				1634504224.8895
StimVisualOn	1	82	c	center	AlexBrush-Regular.ttf	1634504225.077
StimVisualOff	1	82				1634504225.2437
StimVisualOn	1	83	W	center	LiberationMono-Regular.ttf	1634504225.4312
StimVisualOff	1	83				1634504225.5978
StimVisualOn	1	84	l	center	LiberationMono-Regular.ttf	1634504225.7853
StimVisualOff	1	84				1634504225.952
StimVisualOn	1	85	J	center	AlexBrush-Regular.ttf	1634504226.1604
StimVisualOff	1	85				1634504226.327
StimVisualOn	1	86	g	center	LiberationMono-Regular.ttf	1634504226.5145
StimVisualOff	1	86				1634504226.6812
StimVisualOn	1	87	D	center	AlexBrush-Regular.ttf	1634504226.8687
StimVisualOff	1	87				1634504227.0354
StimVisualOn	1	88	2	center	LiberationMono-Regular.ttf	1634504227.2229
StimVisualOff	1	88				1634504227.3895
StimVisualOn	1	89	w	center	AlexBrush-Regular.ttf	1634504227.577
