Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634496303.2797	
BlockStart	1	0	0		-	1634496304.8904	
Fix	1	0	0		+	1634496304.9248
KeyPress	1	1				1634496304.8871	
StimVisualOn	1	1	rl	center	LiberationMono-Regular.ttf	1634496306.4873
StimVisualOff	1	1				1634496306.654
StimVisualOn	1	2	abl	center	LiberationMono-Regular.ttf	1634496306.8415
StimVisualOff	1	2				1634496307.0081
StimVisualOn	1	3	ska	center	LiberationMono-Regular.ttf	1634496307.1956
StimVisualOff	1	3				1634496307.3623
StimVisualOn	1	4	nref	center	LiberationMono-Regular.ttf	1634496307.5498
StimVisualOff	1	4				1634496307.7165
StimVisualOn	1	5	rco	center	LiberationMono-Regular.ttf	1634496307.904
StimVisualOff	1	5				1634496308.0707
StimVisualOn	1	6	ekag	center	LiberationMono-Regular.ttf	1634496308.2582
StimVisualOff	1	6				1634496308.4248
StimVisualOn	1	7	ka	center	LiberationMono-Regular.ttf	1634496308.6123
StimVisualOff	1	7				1634496308.779
StimVisualOn	1	8	erv	center	LiberationMono-Regular.ttf	1634496308.9665
StimVisualOff	1	8				1634496309.1332
StimVisualOn	1	9	nuka	center	LiberationMono-Regular.ttf	1634496309.3207
StimVisualOff	1	9				1634496309.4873
StimVisualOn	1	10	erka	center	LiberationMono-Regular.ttf	1634496309.6748
StimVisualOff	1	10				1634496309.8415
StimVisualOn	1	11	nuka	center	LiberationMono-Regular.ttf	1634496310.029
StimVisualOff	1	11				1634496310.1957
StimVisualOn	1	12	lry	center	LiberationMono-Regular.ttf	1634496310.3832
StimVisualOff	1	12				1634496310.5499
StimVisualOn	1	13	rl	center	LiberationMono-Regular.ttf	1634496310.7374
StimVisualOff	1	13				1634496310.904
StimVisualOn	1	14	erco	center	LiberationMono-Regular.ttf	1634496311.0915
StimVisualOff	1	14				1634496311.2582
StimVisualOn	1	15	uv	center	LiberationMono-Regular.ttf	1634496311.4457
StimVisualOff	1	15				1634496311.6124
StimVisualOn	1	16	ly	center	LiberationMono-Regular.ttf	1634496311.7999
StimVisualOff	1	16				1634496311.9666
StimVisualOn	1	17	dfod	center	LiberationMono-Regular.ttf	1634496312.1749
StimVisualOff	1	17				1634496312.3416
StimVisualOn	1	18	und	center	LiberationMono-Regular.ttf	1634496312.5291
StimVisualOff	1	18				1634496312.6957
StimVisualOn	1	19	ld	center	LiberationMono-Regular.ttf	1634496312.8832
StimVisualOff	1	19				1634496313.0499
StimVisualOn	1	20	nret	center	LiberationMono-Regular.ttf	1634496313.2374
StimVisualOff	1	20				1634496313.4041
StimVisualOn	1	21	rco	center	LiberationMono-Regular.ttf	1634496313.5916
StimVisualOff	1	21				1634496313.7582
StimVisualOn	1	22	1	center	LiberationMono-Regular.ttf	1634496313.9458
StimVisualOff	1	22				1634496314.1124
StimVisualOn	1	23	uviv	center	LiberationMono-Regular.ttf	1634496314.2999
StimVisualOff	1	23				1634496314.4666
StimVisualOn	1	24	dkal	center	LiberationMono-Regular.ttf	1634496314.6541
StimVisualOff	1	24				1634496314.8208
StimVisualOn	1	25	sc	center	LiberationMono-Regular.ttf	1634496315.0083
StimVisualOff	1	25				1634496315.1749
StimVisualOn	1	26	nm	center	LiberationMono-Regular.ttf	1634496315.3624
StimVisualOff	1	26				1634496315.5291
StimVisualOn	1	27	odab	center	LiberationMono-Regular.ttf	1634496315.7166
StimVisualOff	1	27				1634496315.8833
StimVisualOn	1	28	erka	center	LiberationMono-Regular.ttf	1634496316.0916
StimVisualOff	1	28				1634496316.2583
StimVisualOn	1	29	un	center	LiberationMono-Regular.ttf	1634496316.4666
StimVisualOff	1	29				1634496316.6333
StimVisualOn	1	30	agl	center	LiberationMono-Regular.ttf	1634496316.8416
StimVisualOff	1	30				1634496317.0083
StimVisualOn	1	31	oldy	center	LiberationMono-Regular.ttf	1634496317.1958
StimVisualOff	1	31				1634496317.3625
StimVisualOn	1	32	fo	center	LiberationMono-Regular.ttf	1634496317.55
StimVisualOff	1	32				1634496317.7167
StimVisualOn	1	33	abl	center	LiberationMono-Regular.ttf	1634496317.9042
StimVisualOff	1	33				1634496318.0708
StimVisualOn	1	34	dka	center	LiberationMono-Regular.ttf	1634496318.2583
StimVisualOff	1	34				1634496318.425
StimVisualOn	1	35	isa	center	LiberationMono-Regular.ttf	1634496318.6125
StimVisualOff	1	35				1634496318.7792
StimVisualOn	1	36	dcor	center	LiberationMono-Regular.ttf	1634496318.9667
StimVisualOff	1	36				1634496319.1333
StimVisualOn	1	37	nuvi	center	LiberationMono-Regular.ttf	1634496319.3208
StimVisualOff	1	37				1634496319.4875
StimVisualOn	1	38	rti	center	LiberationMono-Regular.ttf	1634496319.675
StimVisualOff	1	38				1634496319.8417
StimVisualOn	1	39	oda	center	LiberationMono-Regular.ttf	1634496320.0292
StimVisualOff	1	39				1634496320.1959
StimVisualOn	1	40	agla	center	LiberationMono-Regular.ttf	1634496320.3834
StimVisualOff	1	40				1634496320.55
StimVisualOn	1	41	unka	center	LiberationMono-Regular.ttf	1634496320.7375
StimVisualOff	1	41				1634496320.9042
StimVisualOn	1	42	rla	center	LiberationMono-Regular.ttf	1634496321.0917
StimVisualOff	1	42				1634496321.2584
StimVisualOn	1	43	afly	center	LiberationMono-Regular.ttf	1634496321.4459
StimVisualOff	1	43				1634496321.6125
StimVisualOn	1	44	dka	center	LiberationMono-Regular.ttf	1634496321.8001
StimVisualOff	1	44				1634496321.9667
StimVisualOn	1	45	dla	center	LiberationMono-Regular.ttf	1634496322.1542
StimVisualOff	1	45				1634496322.3209
StimVisualOn	1	46	util	center	LiberationMono-Regular.ttf	1634496322.5084
StimVisualOff	1	46				1634496322.6751
