Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634422440.8166	
BlockStart	1	0	0		-	1634422442.4347	
Fix	1	0	0		+	1634422442.4778
StimVisualOn	1	1	A	center	LiberationMono-Regular.ttf	1634422444.0404
StimVisualOff	1	1				1634422444.1862
StimVisualOn	1	2	K	center	LiberationMono-Regular.ttf	1634422444.332
StimVisualOff	1	2				1634422444.4779
StimVisualOn	1	3	Y	center	LiberationMono-Regular.ttf	1634422444.6445
StimVisualOff	1	3				1634422444.7904
StimVisualOn	1	4	G	center	AlexBrush-Regular.ttf	1634422444.957
StimVisualOff	1	4				1634422445.1029
StimVisualOn	1	5	m	center	AlexBrush-Regular.ttf	1634422445.2696
StimVisualOff	1	5				1634422445.4154
StimVisualOn	1	6	R	center	AlexBrush-Regular.ttf	1634422445.5821
StimVisualOff	1	6				1634422445.7279
StimVisualOn	1	7	g	center	AlexBrush-Regular.ttf	1634422445.8946
StimVisualOff	1	7				1634422446.0404
StimVisualOn	1	8	g	center	AlexBrush-Regular.ttf	1634422446.2071
StimVisualOff	1	8				1634422446.3529
StimVisualOn	1	9	l	center	AlexBrush-Regular.ttf	1634422446.5196
StimVisualOff	1	9				1634422446.6654
StimVisualOn	1	10	K	center	AlexBrush-Regular.ttf	1634422446.8321
StimVisualOff	1	10				1634422446.9779
StimVisualOn	1	11	E	center	LiberationMono-Regular.ttf	1634422447.1446
StimVisualOff	1	11				1634422447.2904
StimVisualOn	1	12	x	center	LiberationMono-Regular.ttf	1634422447.4571
StimVisualOff	1	12				1634422447.6029
StimVisualOn	1	13	C	center	AlexBrush-Regular.ttf	1634422447.7696
StimVisualOff	1	13				1634422447.9154
StimVisualOn	1	14	h	center	LiberationMono-Regular.ttf	1634422448.0613
StimVisualOff	1	14				1634422448.2071
StimVisualOn	1	15	A	center	LiberationMono-Regular.ttf	1634422448.3738
StimVisualOff	1	15				1634422448.5196
StimVisualOn	1	16	J	center	LiberationMono-Regular.ttf	1634422448.6863
StimVisualOff	1	16				1634422448.8321
StimVisualOn	1	17	B	center	LiberationMono-Regular.ttf	1634422448.9988
StimVisualOff	1	17				1634422449.1446
StimVisualOn	1	18	p	center	AlexBrush-Regular.ttf	1634422449.3113
StimVisualOff	1	18				1634422449.4571
StimVisualOn	1	19	h	center	AlexBrush-Regular.ttf	1634422449.6238
StimVisualOff	1	19				1634422449.7696
StimVisualOn	1	20	M	center	LiberationMono-Regular.ttf	1634422449.9363
StimVisualOff	1	20				1634422450.0821
StimVisualOn	1	21	e	center	LiberationMono-Regular.ttf	1634422450.2488
StimVisualOff	1	21				1634422450.3946
StimVisualOn	1	22	c	center	LiberationMono-Regular.ttf	1634422450.5613
StimVisualOff	1	22				1634422450.7072
StimVisualOn	1	23	F	center	AlexBrush-Regular.ttf	1634422450.8738
StimVisualOff	1	23				1634422451.0197
StimVisualOn	1	24	k	center	LiberationMono-Regular.ttf	1634422451.1863
StimVisualOff	1	24				1634422451.3322
StimVisualOn	1	25	e	center	AlexBrush-Regular.ttf	1634422451.4988
StimVisualOff	1	25				1634422451.6447
