Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634415898.8545	
BlockStart	1	0	0		-	1634415908.0097	
Fix	1	0	0		+	1634415908.0556
Fix	1	1	0		+	1634415908.2222
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634415908.0972
StimVisualOff	1	1				1634415908.2014
Fix	1	2	0		+	1634415908.4514
StimVisualOn	1	2	f	right	LiberationMono-Regular.ttf	1634415908.3264
StimVisualOff	1	2				1634415908.4306
Fix	1	3	0		+	1634415908.6806
StimVisualOn	1	3	Y	right	AlexBrush-Regular.ttf	1634415908.5556
StimVisualOff	1	3				1634415908.6598
Fix	1	4	0		+	1634415908.9514
StimVisualOn	1	4	m	right	LiberationMono-Regular.ttf	1634415908.7848
StimVisualOff	1	4				1634415908.9098
Fix	1	5	0		+	1634415909.2223
StimVisualOn	1	5	d	right	AlexBrush-Regular.ttf	1634415909.0556
StimVisualOff	1	5				1634415909.1806
Fix	1	6	0		+	1634415909.4306
StimVisualOn	1	6	i	right	LiberationMono-Regular.ttf	1634415909.3056
StimVisualOff	1	6				1634415909.4098
Fix	1	7	0		+	1634415909.6806
StimVisualOn	1	7	G	left	AlexBrush-Regular.ttf	1634415909.5348
StimVisualOff	1	7				1634415909.6389
Fix	1	8	0		+	1634415909.9515
StimVisualOn	1	8	t	left	AlexBrush-Regular.ttf	1634415909.7848
StimVisualOff	1	8				1634415909.9098
Fix	1	9	0		+	1634415910.2015
StimVisualOn	1	9	H	right	LiberationMono-Regular.ttf	1634415910.0348
StimVisualOff	1	9				1634415910.1598
Fix	1	10	0		+	1634415910.4098
StimVisualOn	1	10	o	right	AlexBrush-Regular.ttf	1634415910.2848
StimVisualOff	1	10				1634415910.389
Fix	1	11	0		+	1634415910.639
StimVisualOn	1	11	p	left	LiberationMono-Regular.ttf	1634415910.514
StimVisualOff	1	11				1634415910.6181
Fix	1	12	0		+	1634415910.889
StimVisualOn	1	12	I	right	AlexBrush-Regular.ttf	1634415910.764
StimVisualOff	1	12				1634415910.8681
Fix	1	13	0		+	1634415911.1181
StimVisualOn	1	13	d	left	AlexBrush-Regular.ttf	1634415910.9931
StimVisualOff	1	13				1634415911.0973
Fix	1	14	0		+	1634415911.389
StimVisualOn	1	14	q	left	AlexBrush-Regular.ttf	1634415911.2223
StimVisualOff	1	14				1634415911.3473
Fix	1	15	0		+	1634415911.6598
StimVisualOn	1	15	J	right	AlexBrush-Regular.ttf	1634415911.4931
StimVisualOff	1	15				1634415911.6182
