Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634416427.3382	
BlockStart	1	0	0		-	1634416432.4514	
Fix	1	0	0		+	1634416432.4788
Fix	1	1	0		+	1634416432.6246
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634416432.4996
StimVisualOff	1	1				1634416432.6038
Fix	1	2	0		+	1634416432.8954
StimVisualOn	1	2	f	right	LiberationMono-Regular.ttf	1634416432.7288
StimVisualOff	1	2				1634416432.8538
Fix	1	3	0		+	1634416433.1454
StimVisualOn	1	3	Y	right	AlexBrush-Regular.ttf	1634416432.9788
StimVisualOff	1	3				1634416433.1038
Fix	1	4	0		+	1634416433.3538
StimVisualOn	1	4	m	right	LiberationMono-Regular.ttf	1634416433.2288
StimVisualOff	1	4				1634416433.3329
Fix	1	5	0		+	1634416433.5829
StimVisualOn	1	5	d	right	AlexBrush-Regular.ttf	1634416433.458
StimVisualOff	1	5				1634416433.5621
Fix	1	6	0		+	1634416433.833
StimVisualOn	1	6	i	right	LiberationMono-Regular.ttf	1634416433.6871
StimVisualOff	1	6				1634416433.7913
Fix	1	7	0		+	1634416434.0413
StimVisualOn	1	7	G	left	AlexBrush-Regular.ttf	1634416433.9163
StimVisualOff	1	7				1634416434.0205
Fix	1	8	0		+	1634416434.3121
StimVisualOn	1	8	t	left	AlexBrush-Regular.ttf	1634416434.1455
StimVisualOff	1	8				1634416434.2705
Fix	1	9	0		+	1634416434.5413
StimVisualOn	1	9	H	right	LiberationMono-Regular.ttf	1634416434.3955
StimVisualOff	1	9				1634416434.4996
Fix	1	10	0		+	1634416434.7705
StimVisualOn	1	10	o	right	AlexBrush-Regular.ttf	1634416434.6246
StimVisualOff	1	10				1634416434.7288
Fix	1	11	0		+	1634416434.9996
StimVisualOn	1	11	p	left	LiberationMono-Regular.ttf	1634416434.8746
StimVisualOff	1	11				1634416434.9788
Fix	1	12	0		+	1634416435.2288
StimVisualOn	1	12	I	right	AlexBrush-Regular.ttf	1634416435.1038
StimVisualOff	1	12				1634416435.208
Fix	1	13	0		+	1634416435.4996
