Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634405386.3322	
BlockStart	1	0	0		-	1634405386.3404	
Fix	1	1	0		+	1634405386.3637
StimVisualOn	1	1	     a	right	LiberationMono-Regular.ttf	1634405387.0303
StimVisualOff	1	1				1634405387.1553
Fix	1	2	0		+	1634405387.2803
StimVisualOn	1	2	     d	right	LiberationMono-Regular.ttf	1634405387.947
StimVisualOff	1	2				1634405388.072
Fix	1	3	0		+	1634405388.197
StimVisualOn	1	3	     0	right	LiberationMono-Regular.ttf	1634405388.8637
StimVisualOff	1	3				1634405388.9887
Fix	1	4	0		+	1634405389.1137
StimVisualOn	1	4	E     	left	AlexBrush-Regular.ttf	1634405389.7804
StimVisualOff	1	4				1634405389.9054
Fix	1	5	0		+	1634405390.0304
