Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634420308.1964	
BlockStart	1	0	0		-	1634420309.9093	
Fix	1	0	0		+	1634420309.9413
StimVisualOn	1	1	A	center	LiberationMono-Regular.ttf	1634420311.5038
StimVisualOff	1	1				1634420311.608
StimVisualOn	1	2	K	center	LiberationMono-Regular.ttf	1634420311.7329
StimVisualOff	1	2				1634420311.8371
StimVisualOn	1	3	Y	center	LiberationMono-Regular.ttf	1634420311.9621
StimVisualOff	1	3				1634420312.0871
StimVisualOn	1	4	G	center	AlexBrush-Regular.ttf	1634420312.233
StimVisualOff	1	4				1634420312.358
StimVisualOn	1	5	m	center	AlexBrush-Regular.ttf	1634420312.5038
StimVisualOff	1	5				1634420312.6288
StimVisualOn	1	6	R	center	AlexBrush-Regular.ttf	1634420312.7746
StimVisualOff	1	6				1634420312.8996
StimVisualOn	1	7	g	center	AlexBrush-Regular.ttf	1634420313.0455
StimVisualOff	1	7				1634420313.1705
StimVisualOn	1	8	g	center	AlexBrush-Regular.ttf	1634420313.2955
StimVisualOff	1	8				1634420313.4205
StimVisualOn	1	9	l	center	AlexBrush-Regular.ttf	1634420313.5663
StimVisualOff	1	9				1634420313.6705
StimVisualOn	1	10	K	center	AlexBrush-Regular.ttf	1634420313.7955
StimVisualOff	1	10				1634420313.8997
StimVisualOn	1	11	E	center	LiberationMono-Regular.ttf	1634420314.0455
StimVisualOff	1	11				1634420314.1705
StimVisualOn	1	12	x	center	LiberationMono-Regular.ttf	1634420314.2955
StimVisualOff	1	12				1634420314.4205
StimVisualOn	1	13	C	center	AlexBrush-Regular.ttf	1634420314.5455
StimVisualOff	1	13				1634420314.6705
StimVisualOn	1	14	h	center	LiberationMono-Regular.ttf	1634420314.8163
StimVisualOff	1	14				1634420314.9413
StimVisualOn	1	15	A	center	LiberationMono-Regular.ttf	1634420315.0872
StimVisualOff	1	15				1634420315.2122
StimVisualOn	1	16	J	center	LiberationMono-Regular.ttf	1634420315.358
StimVisualOff	1	16				1634420315.483
StimVisualOn	1	17	B	center	LiberationMono-Regular.ttf	1634420315.608
StimVisualOff	1	17				1634420315.733
StimVisualOn	1	18	p	center	AlexBrush-Regular.ttf	1634420315.858
StimVisualOff	1	18				1634420315.9622
StimVisualOn	1	19	h	center	AlexBrush-Regular.ttf	1634420316.0872
StimVisualOff	1	19				1634420316.1914
StimVisualOn	1	20	M	center	LiberationMono-Regular.ttf	1634420316.3372
StimVisualOff	1	20				1634420316.4622
StimVisualOn	1	21	e	center	LiberationMono-Regular.ttf	1634420316.5872
StimVisualOff	1	21				1634420316.7122
StimVisualOn	1	22	c	center	LiberationMono-Regular.ttf	1634420316.8372
StimVisualOff	1	22				1634420316.9622
StimVisualOn	1	23	F	center	AlexBrush-Regular.ttf	1634420317.0872
StimVisualOff	1	23				1634420317.2122
StimVisualOn	1	24	k	center	LiberationMono-Regular.ttf	1634420317.3372
StimVisualOff	1	24				1634420317.4414
StimVisualOn	1	25	e	center	AlexBrush-Regular.ttf	1634420317.5664
StimVisualOff	1	25				1634420317.6705
StimVisualOn	1	26	O	center	AlexBrush-Regular.ttf	1634420317.7956
StimVisualOff	1	26				1634420317.8997
StimVisualOn	1	27	T	center	LiberationMono-Regular.ttf	1634420318.0456
StimVisualOff	1	27				1634420318.1706
StimVisualOn	1	28	P	center	LiberationMono-Regular.ttf	1634420318.2956
StimVisualOff	1	28				1634420318.3997
StimVisualOn	1	29	D	center	LiberationMono-Regular.ttf	1634420318.5247
StimVisualOff	1	29				1634420318.6497
StimVisualOn	1	30	u	center	AlexBrush-Regular.ttf	1634420318.7956
StimVisualOff	1	30				1634420318.8997
StimVisualOn	1	31	C	center	LiberationMono-Regular.ttf	1634420319.0456
StimVisualOff	1	31				1634420319.1706
