Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634403132.9582	
BlockStart	1	0	0		-	1634403132.9651	
Fix	1	1	0		+	1634403132.991
StimVisualOn	1	1	     a	right	LiberationMono-Regular.ttf	1634403133.6576
StimVisualOff	1	1				1634403133.7826
Fix	1	2	0		+	1634403133.9076
StimVisualOn	1	2	     d	right	LiberationMono-Regular.ttf	1634403134.5743
StimVisualOff	1	2				1634403134.6993
Fix	1	3	0		+	1634403134.8243
StimVisualOn	1	3	     0	right	LiberationMono-Regular.ttf	1634403135.491
StimVisualOff	1	3				1634403135.616
Fix	1	4	0		+	1634403135.7618
StimVisualOn	1	4	E     	left	AlexBrush-Regular.ttf	1634403136.4285
StimVisualOff	1	4				1634403136.5535
Fix	1	5	0		+	1634403136.6785
StimVisualOn	1	5	D     	left	LiberationMono-Regular.ttf	1634403137.3452
StimVisualOff	1	5				1634403137.4494
Fix	1	6	0		+	1634403137.5744
StimVisualOn	1	6	     1	right	AlexBrush-Regular.ttf	1634403138.2411
StimVisualOff	1	6				1634403138.3661
Fix	1	7	0		+	1634403138.4911
StimVisualOn	1	7	B     	left	LiberationMono-Regular.ttf	1634403139.1577
StimVisualOff	1	7				1634403139.2619
Fix	1	8	0		+	1634403139.3869
StimVisualOn	1	8	     1	right	LiberationMono-Regular.ttf	1634403140.0536
StimVisualOff	1	8				1634403140.1786
Fix	1	9	0		+	1634403140.3036
StimVisualOn	1	9	     E	right	LiberationMono-Regular.ttf	1634403140.9494
StimVisualOff	1	9				1634403141.0744
Fix	1	10	0		+	1634403141.1994
StimVisualOn	1	10	     1	right	LiberationMono-Regular.ttf	1634403141.8661
StimVisualOff	1	10				1634403141.9703
Fix	1	11	0		+	1634403142.0953
StimVisualOn	1	11	1     	left	AlexBrush-Regular.ttf	1634403142.762
StimVisualOff	1	11				1634403142.887
Fix	1	12	0		+	1634403143.012
StimVisualOn	1	12	C     	left	AlexBrush-Regular.ttf	1634403143.6786
StimVisualOff	1	12				1634403143.7828
Fix	1	13	0		+	1634403143.9078
StimVisualOn	1	13	     1	right	LiberationMono-Regular.ttf	1634403144.5745
StimVisualOff	1	13				1634403144.6995
Fix	1	14	0		+	1634403144.8245
StimVisualOn	1	14	b     	left	LiberationMono-Regular.ttf	1634403145.4912
StimVisualOff	1	14				1634403145.5953
Fix	1	15	0		+	1634403145.7203
StimVisualOn	1	15	1     	left	LiberationMono-Regular.ttf	1634403146.387
StimVisualOff	1	15				1634403146.4912
Fix	1	16	0		+	1634403146.6162
StimVisualOn	1	16	     1	right	AlexBrush-Regular.ttf	1634403147.2829
StimVisualOff	1	16				1634403147.387
Fix	1	17	0		+	1634403147.512
StimVisualOn	1	17	b     	left	AlexBrush-Regular.ttf	1634403148.1787
StimVisualOff	1	17				1634403148.3037
Fix	1	18	0		+	1634403148.4287
StimVisualOn	1	18	     1	right	AlexBrush-Regular.ttf	1634403149.0954
StimVisualOff	1	18				1634403149.1996
Fix	1	19	0		+	1634403149.3246
StimVisualOn	1	19	     B	right	LiberationMono-Regular.ttf	1634403149.9913
StimVisualOff	1	19				1634403150.1162
Fix	1	20	0		+	1634403150.2413
StimVisualOn	1	20	2     	left	AlexBrush-Regular.ttf	1634403150.9079
StimVisualOff	1	20				1634403151.0329
Fix	1	21	0		+	1634403151.1579
StimVisualOn	1	21	     2	right	LiberationMono-Regular.ttf	1634403151.8246
StimVisualOff	1	21				1634403151.9496
Fix	1	22	0		+	1634403152.0746
StimVisualOn	1	22	     b	right	LiberationMono-Regular.ttf	1634403152.7413
StimVisualOff	1	22				1634403152.8663
Fix	1	23	0		+	1634403152.9913
StimVisualOn	1	23	     1	right	LiberationMono-Regular.ttf	1634403153.658
StimVisualOff	1	23				1634403153.783
Fix	1	24	0		+	1634403153.908
