Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634402726.2206	
BlockStart	1	0	0		-	1634402726.2281	
Fix	1	1	0		+	1634402726.255
StimVisualOn	1	1	     a	right	LiberationMono-Regular.ttf	1634402726.9217
StimVisualOff	1	1				1634402727.0467
Fix	1	2	0		+	1634402727.1717
StimVisualOn	1	2	     d	right	LiberationMono-Regular.ttf	1634402727.8384
StimVisualOff	1	2				1634402727.9634
Fix	1	3	0		+	1634402728.0884
StimVisualOn	1	3	     0	right	LiberationMono-Regular.ttf	1634402728.755
StimVisualOff	1	3				1634402728.88
Fix	1	4	0		+	1634402729.0259
StimVisualOn	1	4	E     	left	AlexBrush-Regular.ttf	1634402729.6926
StimVisualOff	1	4				1634402729.8176
Fix	1	5	0		+	1634402729.9426
StimVisualOn	1	5	D     	left	LiberationMono-Regular.ttf	1634402730.6092
StimVisualOff	1	5				1634402730.7342
Fix	1	6	0		+	1634402730.8592
StimVisualOn	1	6	     1	right	AlexBrush-Regular.ttf	1634402731.5259
StimVisualOff	1	6				1634402731.6301
Fix	1	7	0		+	1634402731.7551
StimVisualOn	1	7	B     	left	LiberationMono-Regular.ttf	1634402732.4218
StimVisualOff	1	7				1634402732.5468
Fix	1	8	0		+	1634402732.6718
StimVisualOn	1	8	     1	right	LiberationMono-Regular.ttf	1634402733.3385
StimVisualOff	1	8				1634402733.4635
Fix	1	9	0		+	1634402733.5885
StimVisualOn	1	9	     E	right	LiberationMono-Regular.ttf	1634402734.2551
StimVisualOff	1	9				1634402734.3801
Fix	1	10	0		+	1634402734.5051
StimVisualOn	1	10	     1	right	LiberationMono-Regular.ttf	1634402735.1718
StimVisualOff	1	10				1634402735.2968
Fix	1	11	0		+	1634402735.4218
StimVisualOn	1	11	1     	left	AlexBrush-Regular.ttf	1634402736.0885
StimVisualOff	1	11				1634402736.2135
Fix	1	12	0		+	1634402736.3385
StimVisualOn	1	12	C     	left	AlexBrush-Regular.ttf	1634402737.0052
StimVisualOff	1	12				1634402737.1302
Fix	1	13	0		+	1634402737.2552
StimVisualOn	1	13	     1	right	LiberationMono-Regular.ttf	1634402737.9219
StimVisualOff	1	13				1634402738.0469
Fix	1	14	0		+	1634402738.1719
