Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634384330.412	
BlockStart	1	0	0		-	1634384330.4207	
Fix	1	1	0		+	1634384330.4459
StimVisualOn	1	1	     a	right	LiberationMono-Regular.ttf	1634384331.1126
StimVisualOff	1	1				1634384331.2376
Fix	1	2	0		+	1634384331.3626
StimVisualOn	1	2	     d	right	LiberationMono-Regular.ttf	1634384332.0084
StimVisualOff	1	2				1634384332.1334
Fix	1	3	0		+	1634384332.2584
StimVisualOn	1	3	     0	right	LiberationMono-Regular.ttf	1634384332.9042
StimVisualOff	1	3				1634384333.0292
Fix	1	4	0		+	1634384333.1751
StimVisualOn	1	4	E     	left	AlexBrush-Regular.ttf	1634384333.8209
StimVisualOff	1	4				1634384333.9459
Fix	1	5	0		+	1634384334.0918
StimVisualOn	1	5	D     	left	LiberationMono-Regular.ttf	1634384334.7376
StimVisualOff	1	5				1634384334.8626
Fix	1	6	0		+	1634384334.9876
StimVisualOn	1	6	     1	right	AlexBrush-Regular.ttf	1634384335.6335
StimVisualOff	1	6				1634384335.7585
Fix	1	7	0		+	1634384335.8835
StimVisualOn	1	7	B     	left	LiberationMono-Regular.ttf	1634384336.5293
StimVisualOff	1	7				1634384336.6543
Fix	1	8	0		+	1634384336.7793
StimVisualOn	1	8	     1	right	LiberationMono-Regular.ttf	1634384337.4252
StimVisualOff	1	8				1634384337.5502
Fix	1	9	0		+	1634384337.6752
StimVisualOn	1	9	     E	right	LiberationMono-Regular.ttf	1634384338.321
StimVisualOff	1	9				1634384338.446
Fix	1	10	0		+	1634384338.571
StimVisualOn	1	10	     1	right	LiberationMono-Regular.ttf	1634384339.2169
StimVisualOff	1	10				1634384339.3419
Fix	1	11	0		+	1634384339.4669
StimVisualOn	1	11	1     	left	AlexBrush-Regular.ttf	1634384340.1127
StimVisualOff	1	11				1634384340.2377
Fix	1	12	0		+	1634384340.3627
StimVisualOn	1	12	C     	left	AlexBrush-Regular.ttf	1634384341.0086
StimVisualOff	1	12				1634384341.1336
Fix	1	13	0		+	1634384341.2586
StimVisualOn	1	13	     1	right	LiberationMono-Regular.ttf	1634384341.9044
StimVisualOff	1	13				1634384342.0294
Fix	1	14	0		+	1634384342.1544
StimVisualOn	1	14	b     	left	LiberationMono-Regular.ttf	1634384342.8003
StimVisualOff	1	14				1634384342.9253
Fix	1	15	0		+	1634384343.0503
StimVisualOn	1	15	1     	left	LiberationMono-Regular.ttf	1634384343.6961
StimVisualOff	1	15				1634384343.8211
Fix	1	16	0		+	1634384343.9461
StimVisualOn	1	16	     1	right	AlexBrush-Regular.ttf	1634384344.592
StimVisualOff	1	16				1634384344.7169
Fix	1	17	0		+	1634384344.842
StimVisualOn	1	17	b     	left	AlexBrush-Regular.ttf	1634384345.4878
StimVisualOff	1	17				1634384345.6128
Fix	1	18	0		+	1634384345.7378
StimVisualOn	1	18	     1	right	AlexBrush-Regular.ttf	1634384346.3836
StimVisualOff	1	18				1634384346.5087
Fix	1	19	0		+	1634384346.6337
StimVisualOn	1	19	     B	right	LiberationMono-Regular.ttf	1634384347.2795
StimVisualOff	1	19				1634384347.4045
Fix	1	20	0		+	1634384347.5295
StimVisualOn	1	20	2     	left	AlexBrush-Regular.ttf	1634384348.1753
StimVisualOff	1	20				1634384348.3003
Fix	1	21	0		+	1634384348.4253
StimVisualOn	1	21	     2	right	LiberationMono-Regular.ttf	1634384349.0712
StimVisualOff	1	21				1634384349.1962
Fix	1	22	0		+	1634384349.3212
StimVisualOn	1	22	     b	right	LiberationMono-Regular.ttf	1634384349.967
StimVisualOff	1	22				1634384350.092
Fix	1	23	0		+	1634384350.2171
StimVisualOn	1	23	     1	right	LiberationMono-Regular.ttf	1634384350.8629
StimVisualOff	1	23				1634384350.9879
Fix	1	24	0		+	1634384351.1129
StimVisualOn	1	24	     1	right	LiberationMono-Regular.ttf	1634384351.7587
StimVisualOff	1	24				1634384351.8837
Fix	1	25	0		+	1634384352.0087
StimVisualOn	1	25	2     	left	AlexBrush-Regular.ttf	1634384352.6546
StimVisualOff	1	25				1634384352.7796
Fix	1	26	0		+	1634384352.9046
StimVisualOn	1	26	     d	right	AlexBrush-Regular.ttf	1634384353.5504
StimVisualOff	1	26				1634384353.6754
Fix	1	27	0		+	1634384353.8004
StimVisualOn	1	27	e     	left	LiberationMono-Regular.ttf	1634384354.4463
StimVisualOff	1	27				1634384354.5713
Fix	1	28	0		+	1634384354.6963
StimVisualOn	1	28	b     	left	LiberationMono-Regular.ttf	1634384355.3421
StimVisualOff	1	28				1634384355.4671
Fix	1	29	0		+	1634384355.5921
StimVisualOn	1	29	     1	right	AlexBrush-Regular.ttf	1634384356.238
StimVisualOff	1	29				1634384356.363
Fix	1	30	0		+	1634384356.488
StimVisualOn	1	30	     C	right	LiberationMono-Regular.ttf	1634384357.1338
StimVisualOff	1	30				1634384357.2588
Fix	1	31	0		+	1634384357.3838
StimVisualOn	1	31	1     	left	LiberationMono-Regular.ttf	1634384358.0297
StimVisualOff	1	31				1634384358.1547
Fix	1	32	0		+	1634384358.2797
StimVisualOn	1	32	     D	right	LiberationMono-Regular.ttf	1634384358.9255
StimVisualOff	1	32				1634384359.0505
Fix	1	33	0		+	1634384359.1755
