Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634416180.6079	
BlockStart	1	0	0		-	1634416185.965	
Fix	1	0	0		+	1634416185.9966
Fix	1	1	0		+	1634416186.2049
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634416186.0382
StimVisualOff	1	1				1634416186.1632
Fix	1	2	0		+	1634416186.4549
StimVisualOn	1	2	f	right	LiberationMono-Regular.ttf	1634416186.3091
StimVisualOff	1	2				1634416186.4132
Fix	1	3	0		+	1634416186.6632
StimVisualOn	1	3	Y	right	AlexBrush-Regular.ttf	1634416186.5382
StimVisualOff	1	3				1634416186.6424
Fix	1	4	0		+	1634416186.9341
StimVisualOn	1	4	m	right	LiberationMono-Regular.ttf	1634416186.7674
StimVisualOff	1	4				1634416186.8924
Fix	1	5	0		+	1634416187.2049
StimVisualOn	1	5	d	right	AlexBrush-Regular.ttf	1634416187.0382
StimVisualOff	1	5				1634416187.1632
Fix	1	6	0		+	1634416187.4132
StimVisualOn	1	6	i	right	LiberationMono-Regular.ttf	1634416187.2882
StimVisualOff	1	6				1634416187.3924
Fix	1	7	0		+	1634416187.6424
StimVisualOn	1	7	G	left	AlexBrush-Regular.ttf	1634416187.5174
StimVisualOff	1	7				1634416187.6216
Fix	1	8	0		+	1634416187.8924
StimVisualOn	1	8	t	left	AlexBrush-Regular.ttf	1634416187.7674
StimVisualOff	1	8				1634416187.8716
Fix	1	9	0		+	1634416188.1216
StimVisualOn	1	9	H	right	LiberationMono-Regular.ttf	1634416187.9966
StimVisualOff	1	9				1634416188.1007
Fix	1	10	0		+	1634416188.3924
StimVisualOn	1	10	o	right	AlexBrush-Regular.ttf	1634416188.2257
StimVisualOff	1	10				1634416188.3508
Fix	1	11	0		+	1634416188.6633
StimVisualOn	1	11	p	left	LiberationMono-Regular.ttf	1634416188.4966
StimVisualOff	1	11				1634416188.6216
Fix	1	12	0		+	1634416188.8716
StimVisualOn	1	12	I	right	AlexBrush-Regular.ttf	1634416188.7466
StimVisualOff	1	12				1634416188.8508
Fix	1	13	0		+	1634416189.1216
StimVisualOn	1	13	d	left	AlexBrush-Regular.ttf	1634416188.9758
StimVisualOff	1	13				1634416189.0799
Fix	1	14	0		+	1634416189.3716
StimVisualOn	1	14	q	left	AlexBrush-Regular.ttf	1634416189.2049
StimVisualOff	1	14				1634416189.3299
Fix	1	15	0		+	1634416189.6216
StimVisualOn	1	15	J	right	AlexBrush-Regular.ttf	1634416189.4549
StimVisualOff	1	15				1634416189.5799
Fix	1	16	0		+	1634416189.8716
StimVisualOn	1	16	S	left	AlexBrush-Regular.ttf	1634416189.7049
StimVisualOff	1	16				1634416189.8299
Fix	1	17	0		+	1634416190.0799
StimVisualOn	1	17	s	right	AlexBrush-Regular.ttf	1634416189.9549
StimVisualOff	1	17				1634416190.0591
Fix	1	18	0		+	1634416190.3508
StimVisualOn	1	18	p	right	LiberationMono-Regular.ttf	1634416190.1841
StimVisualOff	1	18				1634416190.3091
Fix	1	19	0		+	1634416190.5799
StimVisualOn	1	19	x	right	LiberationMono-Regular.ttf	1634416190.4549
StimVisualOff	1	19				1634416190.5591
Fix	1	20	0		+	1634416190.8091
StimVisualOn	1	20	Y	left	LiberationMono-Regular.ttf	1634416190.6841
StimVisualOff	1	20				1634416190.7883
Fix	1	21	0		+	1634416191.0383
StimVisualOn	1	21	R	left	AlexBrush-Regular.ttf	1634416190.9133
StimVisualOff	1	21				1634416191.0174
Fix	1	22	0		+	1634416191.3299
StimVisualOn	1	22	b	right	AlexBrush-Regular.ttf	1634416191.1633
StimVisualOff	1	22				1634416191.2883
Fix	1	23	0		+	1634416191.58
StimVisualOn	1	23	y	left	AlexBrush-Regular.ttf	1634416191.4133
StimVisualOff	1	23				1634416191.5383
Fix	1	24	0		+	1634416191.8299
StimVisualOn	1	24	D	left	LiberationMono-Regular.ttf	1634416191.6633
StimVisualOff	1	24				1634416191.7883
Fix	1	25	0		+	1634416192.0799
StimVisualOn	1	25	n	right	LiberationMono-Regular.ttf	1634416191.9133
StimVisualOff	1	25				1634416192.0383
Fix	1	26	0		+	1634416192.3091
StimVisualOn	1	26	p	right	LiberationMono-Regular.ttf	1634416192.1633
StimVisualOff	1	26				1634416192.2883
Fix	1	27	0		+	1634416192.6008
StimVisualOn	1	27	O	left	LiberationMono-Regular.ttf	1634416192.4341
StimVisualOff	1	27				1634416192.5591
Fix	1	28	0		+	1634416192.83
StimVisualOn	1	28	E	right	LiberationMono-Regular.ttf	1634416192.705
StimVisualOff	1	28				1634416192.8091
Fix	1	29	0		+	1634416193.0591
StimVisualOn	1	29	A	right	LiberationMono-Regular.ttf	1634416192.9341
StimVisualOff	1	29				1634416193.0383
Fix	1	30	0		+	1634416193.33
StimVisualOn	1	30	U	left	AlexBrush-Regular.ttf	1634416193.1633
StimVisualOff	1	30				1634416193.2883
Fix	1	31	0		+	1634416193.58
StimVisualOn	1	31	4	right	LiberationMono-Regular.ttf	1634416193.4133
StimVisualOff	1	31				1634416193.5383
Fix	1	32	0		+	1634416193.83
StimVisualOn	1	32	Q	left	AlexBrush-Regular.ttf	1634416193.6633
StimVisualOff	1	32				1634416193.7883
Fix	1	33	0		+	1634416194.08
StimVisualOn	1	33	g	right	LiberationMono-Regular.ttf	1634416193.9133
StimVisualOff	1	33				1634416194.0383
Fix	1	34	0		+	1634416194.2883
StimVisualOn	1	34	F	left	AlexBrush-Regular.ttf	1634416194.1633
StimVisualOff	1	34				1634416194.2675
Fix	1	35	0		+	1634416194.5383
StimVisualOn	1	35	p	left	LiberationMono-Regular.ttf	1634416194.3925
StimVisualOff	1	35				1634416194.4966
Fix	1	36	0		+	1634416194.7883
StimVisualOn	1	36	k	left	AlexBrush-Regular.ttf	1634416194.6216
StimVisualOff	1	36				1634416194.7466
Fix	1	37	0		+	1634416194.9966
StimVisualOn	1	37	b	left	LiberationMono-Regular.ttf	1634416194.8716
StimVisualOff	1	37				1634416194.9758
Fix	1	38	0		+	1634416195.2258
StimVisualOn	1	38	X	left	LiberationMono-Regular.ttf	1634416195.1008
StimVisualOff	1	38				1634416195.205
Fix	1	39	0		+	1634416195.4966
StimVisualOn	1	39	P	right	AlexBrush-Regular.ttf	1634416195.33
StimVisualOff	1	39				1634416195.455
Fix	1	40	0		+	1634416195.7675
