Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634411279.0539	
BlockStart	1	0	0		-	1634411279.0607	
Fix	1	1	0		+	1634411279.2331
StimVisualOn	1	1	a	right	LiberationMono-Regular.ttf	1634411279.1081
StimVisualOff	1	1				1634411279.2122
Fix	1	2	0		+	1634411279.5039
StimVisualOn	1	2	f	right	LiberationMono-Regular.ttf	1634411279.3372
StimVisualOff	1	2				1634411279.4622
Fix	1	3	0		+	1634411279.7747
StimVisualOn	1	3	Y	right	AlexBrush-Regular.ttf	1634411279.6081
StimVisualOff	1	3				1634411279.7331
Fix	1	4	0		+	1634411280.0248
StimVisualOn	1	4	m	right	LiberationMono-Regular.ttf	1634411279.8581
StimVisualOff	1	4				1634411279.9831
Fix	1	5	0		+	1634411280.2956
StimVisualOn	1	5	d	right	AlexBrush-Regular.ttf	1634411280.1289
StimVisualOff	1	5				1634411280.2539
Fix	1	6	0		+	1634411280.5664
StimVisualOn	1	6	i	right	LiberationMono-Regular.ttf	1634411280.3998
StimVisualOff	1	6				1634411280.5248
Fix	1	7	0		+	1634411280.7748
StimVisualOn	1	7	G	left	AlexBrush-Regular.ttf	1634411280.6498
StimVisualOff	1	7				1634411280.7539
Fix	1	8	0		+	1634411281.0248
StimVisualOn	1	8	t	left	AlexBrush-Regular.ttf	1634411280.8789
StimVisualOff	1	8				1634411280.9831
Fix	1	9	0		+	1634411281.2748
StimVisualOn	1	9	H	right	LiberationMono-Regular.ttf	1634411281.1081
StimVisualOff	1	9				1634411281.2331
Fix	1	10	0		+	1634411281.5248
StimVisualOn	1	10	o	right	AlexBrush-Regular.ttf	1634411281.3581
StimVisualOff	1	10				1634411281.4831
Fix	1	11	0		+	1634411281.754
StimVisualOn	1	11	p	left	LiberationMono-Regular.ttf	1634411281.6081
StimVisualOff	1	11				1634411281.7331
Fix	1	12	0		+	1634411281.9831
StimVisualOn	1	12	I	right	AlexBrush-Regular.ttf	1634411281.8581
StimVisualOff	1	12				1634411281.9623
Fix	1	13	0		+	1634411282.2123
StimVisualOn	1	13	d	left	AlexBrush-Regular.ttf	1634411282.0873
StimVisualOff	1	13				1634411282.1915
Fix	1	14	0		+	1634411282.4831
StimVisualOn	1	14	q	left	AlexBrush-Regular.ttf	1634411282.3165
StimVisualOff	1	14				1634411282.4415
Fix	1	15	0		+	1634411282.6915
StimVisualOn	1	15	J	right	AlexBrush-Regular.ttf	1634411282.5665
StimVisualOff	1	15				1634411282.6706
Fix	1	16	0		+	1634411282.9206
StimVisualOn	1	16	S	left	AlexBrush-Regular.ttf	1634411282.7956
StimVisualOff	1	16				1634411282.8998
Fix	1	17	0		+	1634411283.1915
StimVisualOn	1	17	s	right	AlexBrush-Regular.ttf	1634411283.0248
StimVisualOff	1	17				1634411283.1498
Fix	1	18	0		+	1634411283.4206
StimVisualOn	1	18	p	right	LiberationMono-Regular.ttf	1634411283.2956
StimVisualOff	1	18				1634411283.3998
Fix	1	19	0		+	1634411283.6498
StimVisualOn	1	19	x	right	LiberationMono-Regular.ttf	1634411283.5248
StimVisualOff	1	19				1634411283.629
Fix	1	20	0		+	1634411283.9207
StimVisualOn	1	20	Y	left	LiberationMono-Regular.ttf	1634411283.754
StimVisualOff	1	20				1634411283.879
Fix	1	21	0		+	1634411284.1707
StimVisualOn	1	21	R	left	AlexBrush-Regular.ttf	1634411284.004
StimVisualOff	1	21				1634411284.129
Fix	1	22	0		+	1634411284.4207
StimVisualOn	1	22	b	right	AlexBrush-Regular.ttf	1634411284.254
StimVisualOff	1	22				1634411284.379
Fix	1	23	0		+	1634411284.6707
StimVisualOn	1	23	y	left	AlexBrush-Regular.ttf	1634411284.504
StimVisualOff	1	23				1634411284.629
Fix	1	24	0		+	1634411284.9207
StimVisualOn	1	24	D	left	LiberationMono-Regular.ttf	1634411284.754
StimVisualOff	1	24				1634411284.879
Fix	1	25	0		+	1634411285.1707
StimVisualOn	1	25	n	right	LiberationMono-Regular.ttf	1634411285.004
StimVisualOff	1	25				1634411285.129
Fix	1	26	0		+	1634411285.4207
StimVisualOn	1	26	p	right	LiberationMono-Regular.ttf	1634411285.254
StimVisualOff	1	26				1634411285.379
Fix	1	27	0		+	1634411285.629
StimVisualOn	1	27	O	left	LiberationMono-Regular.ttf	1634411285.504
StimVisualOff	1	27				1634411285.6082
Fix	1	28	0		+	1634411285.8999
StimVisualOn	1	28	E	right	LiberationMono-Regular.ttf	1634411285.7332
StimVisualOff	1	28				1634411285.8582
Fix	1	29	0		+	1634411286.1707
StimVisualOn	1	29	A	right	LiberationMono-Regular.ttf	1634411286.004
StimVisualOff	1	29				1634411286.129
Fix	1	30	0		+	1634411286.4207
StimVisualOn	1	30	U	left	AlexBrush-Regular.ttf	1634411286.254
StimVisualOff	1	30				1634411286.379
Fix	1	31	0		+	1634411286.6915
StimVisualOn	1	31	4	right	LiberationMono-Regular.ttf	1634411286.5249
StimVisualOff	1	31				1634411286.6499
Fix	1	32	0		+	1634411286.8999
StimVisualOn	1	32	Q	left	AlexBrush-Regular.ttf	1634411286.7749
StimVisualOff	1	32				1634411286.879
Fix	1	33	0		+	1634411287.129
StimVisualOn	1	33	g	right	LiberationMono-Regular.ttf	1634411287.004
StimVisualOff	1	33				1634411287.1082
Fix	1	34	0		+	1634411287.3999
StimVisualOn	1	34	F	left	AlexBrush-Regular.ttf	1634411287.2332
StimVisualOff	1	34				1634411287.3582
Fix	1	35	0		+	1634411287.6291
StimVisualOn	1	35	p	left	LiberationMono-Regular.ttf	1634411287.5041
StimVisualOff	1	35				1634411287.6082
Fix	1	36	0		+	1634411287.8999
StimVisualOn	1	36	k	left	AlexBrush-Regular.ttf	1634411287.7332
StimVisualOff	1	36				1634411287.8582
Fix	1	37	0		+	1634411288.1291
StimVisualOn	1	37	b	left	LiberationMono-Regular.ttf	1634411288.0041
StimVisualOff	1	37				1634411288.1082
Fix	1	38	0		+	1634411288.3999
StimVisualOn	1	38	X	left	LiberationMono-Regular.ttf	1634411288.2332
StimVisualOff	1	38				1634411288.3582
Fix	1	39	0		+	1634411288.6707
StimVisualOn	1	39	P	right	AlexBrush-Regular.ttf	1634411288.5041
StimVisualOff	1	39				1634411288.6291
Fix	1	40	0		+	1634411288.8999
StimVisualOn	1	40	s	left	LiberationMono-Regular.ttf	1634411288.7541
StimVisualOff	1	40				1634411288.8582
Fix	1	41	0		+	1634411289.1082
StimVisualOn	1	41	Q	left	AlexBrush-Regular.ttf	1634411288.9832
StimVisualOff	1	41				1634411289.0874
Fix	1	42	0		+	1634411289.3791
StimVisualOn	1	42	M	left	LiberationMono-Regular.ttf	1634411289.2124
StimVisualOff	1	42				1634411289.3374
Fix	1	43	0		+	1634411289.6499
StimVisualOn	1	43	p	left	AlexBrush-Regular.ttf	1634411289.4833
StimVisualOff	1	43				1634411289.6082
Fix	1	44	0		+	1634411289.8999
StimVisualOn	1	44	u	right	AlexBrush-Regular.ttf	1634411289.7333
StimVisualOff	1	44				1634411289.8583
Fix	1	45	0		+	1634411290.1708
StimVisualOn	1	45	W	right	LiberationMono-Regular.ttf	1634411290.0041
StimVisualOff	1	45				1634411290.1291
Fix	1	46	0		+	1634411290.4208
StimVisualOn	1	46	H	right	LiberationMono-Regular.ttf	1634411290.2541
StimVisualOff	1	46				1634411290.3791
Fix	1	47	0		+	1634411290.6291
StimVisualOn	1	47	B	right	LiberationMono-Regular.ttf	1634411290.5041
StimVisualOff	1	47				1634411290.6083
Fix	1	48	0		+	1634411290.8999
StimVisualOn	1	48	x	left	AlexBrush-Regular.ttf	1634411290.7333
StimVisualOff	1	48				1634411290.8583
Fix	1	49	0		+	1634411291.1083
StimVisualOn	1	49	b	right	LiberationMono-Regular.ttf	1634411290.9833
StimVisualOff	1	49				1634411291.0874
Fix	1	50	0		+	1634411291.3374
StimVisualOn	1	50	p	right	LiberationMono-Regular.ttf	1634411291.2124
StimVisualOff	1	50				1634411291.3166
Fix	1	51	0		+	1634411291.6083
StimVisualOn	1	51	G	right	AlexBrush-Regular.ttf	1634411291.4416
StimVisualOff	1	51				1634411291.5666
Fix	1	52	0		+	1634411291.8791
StimVisualOn	1	52	U	right	LiberationMono-Regular.ttf	1634411291.7124
StimVisualOff	1	52				1634411291.8375
Fix	1	53	0		+	1634411292.15
StimVisualOn	1	53	h	right	AlexBrush-Regular.ttf	1634411291.9833
StimVisualOff	1	53				1634411292.1083
Fix	1	54	0		+	1634411292.4
StimVisualOn	1	54	J	left	AlexBrush-Regular.ttf	1634411292.2333
StimVisualOff	1	54				1634411292.3583
