Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634403340.7516	
BlockStart	1	0	0		-	1634403340.7619	
Fix	1	1	0		+	1634403340.7861
StimVisualOn	1	1	     a	right	LiberationMono-Regular.ttf	1634403341.4528
StimVisualOff	1	1				1634403341.5778
Fix	1	2	0		+	1634403341.7028
StimVisualOn	1	2	     d	right	LiberationMono-Regular.ttf	1634403342.3695
StimVisualOff	1	2				1634403342.4945
Fix	1	3	0		+	1634403342.6195
StimVisualOn	1	3	     0	right	LiberationMono-Regular.ttf	1634403343.2862
StimVisualOff	1	3				1634403343.3903
Fix	1	4	0		+	1634403343.5153
StimVisualOn	1	4	E     	left	AlexBrush-Regular.ttf	1634403344.182
StimVisualOff	1	4				1634403344.307
Fix	1	5	0		+	1634403344.432
StimVisualOn	1	5	D     	left	LiberationMono-Regular.ttf	1634403345.0987
StimVisualOff	1	5				1634403345.2237
Fix	1	6	0		+	1634403345.3487
StimVisualOn	1	6	     1	right	AlexBrush-Regular.ttf	1634403346.0154
StimVisualOff	1	6				1634403346.1195
Fix	1	7	0		+	1634403346.2445
StimVisualOn	1	7	B     	left	LiberationMono-Regular.ttf	1634403346.9112
StimVisualOff	1	7				1634403347.0362
Fix	1	8	0		+	1634403347.1612
StimVisualOn	1	8	     1	right	LiberationMono-Regular.ttf	1634403347.8279
StimVisualOff	1	8				1634403347.9321
Fix	1	9	0		+	1634403348.0571
StimVisualOn	1	9	     E	right	LiberationMono-Regular.ttf	1634403348.7237
StimVisualOff	1	9				1634403348.8488
Fix	1	10	0		+	1634403348.9737
StimVisualOn	1	10	     1	right	LiberationMono-Regular.ttf	1634403349.6404
StimVisualOff	1	10				1634403349.7446
Fix	1	11	0		+	1634403349.8696
StimVisualOn	1	11	1     	left	AlexBrush-Regular.ttf	1634403350.5363
StimVisualOff	1	11				1634403350.6613
Fix	1	12	0		+	1634403350.7863
StimVisualOn	1	12	C     	left	AlexBrush-Regular.ttf	1634403351.453
StimVisualOff	1	12				1634403351.578
Fix	1	13	0		+	1634403351.703
StimVisualOn	1	13	     1	right	LiberationMono-Regular.ttf	1634403352.3696
StimVisualOff	1	13				1634403352.4946
Fix	1	14	0		+	1634403352.6197
StimVisualOn	1	14	b     	left	LiberationMono-Regular.ttf	1634403353.2863
StimVisualOff	1	14				1634403353.3905
Fix	1	15	0		+	1634403353.5155
StimVisualOn	1	15	1     	left	LiberationMono-Regular.ttf	1634403354.1822
StimVisualOff	1	15				1634403354.2863
Fix	1	16	0		+	1634403354.4113
StimVisualOn	1	16	     1	right	AlexBrush-Regular.ttf	1634403355.078
StimVisualOff	1	16				1634403355.203
Fix	1	17	0		+	1634403355.328
StimVisualOn	1	17	b     	left	AlexBrush-Regular.ttf	1634403355.9947
StimVisualOff	1	17				1634403356.0989
Fix	1	18	0		+	1634403356.2239
StimVisualOn	1	18	     1	right	AlexBrush-Regular.ttf	1634403356.8906
StimVisualOff	1	18				1634403356.9947
Fix	1	19	0		+	1634403357.1197
StimVisualOn	1	19	     B	right	LiberationMono-Regular.ttf	1634403357.7864
StimVisualOff	1	19				1634403357.8906
Fix	1	20	0		+	1634403358.0156
StimVisualOn	1	20	2     	left	AlexBrush-Regular.ttf	1634403358.6823
StimVisualOff	1	20				1634403358.7864
Fix	1	21	0		+	1634403358.9114
StimVisualOn	1	21	     2	right	LiberationMono-Regular.ttf	1634403359.5781
StimVisualOff	1	21				1634403359.7031
